ETossed,Wins,Losses
pipsqueak,"abbearv(x2), bose, frenzy(x3), fuzzyness, humpe, ice(x2), jah ridin', kins0(x4), leffen(x2), mahie, max, nicki(x3), professor pro(x4), r23, raoul(x2), rikzz(x2), sharp(x2), shiftingshadows, solobattle(x2), steff$(x2), timi, trif, velani, yogurt, ","frenzy(x2), ice(x2), jah ridin', kins0, leffen(x2), mahie, mint(x3), nicki, trif(x3), ",
poilon,"max, mayhem092(x2), steff$, ","Calle W, jeapie, kins0(x2), liax, professor pro, r23(x2), rikzz, vice, ",
poppmaister6000,"daydee, marlo, ","frenzy, jim morrison, ",
professor pro,"23, fat tino, fout nl, frenzy(x3), ice(x2), jah ridin'(x3), jeapie(x2), kins0(x2), levingy(x2), mahie, mayhem092, meady(x2), mint, nicki(x2), noxxa, paju, poilon, rikzz(x4), skullbro, trif(x2), velani(x3), ","frenzy(x6), ice(x2), kins0, leffen, pipsqueak(x4), renzo, ",
r23,"blackh4ze, fout nl, jamie, jim morrison, laurster, niklas2912, parsec, poilon(x2), renzo, ","abbearv, frenzy, Happymealz, jim morrison, mahie(x2), mayhem092, niklas2912, pipsqueak, raoul, sharp, timi, trif, Zedy, ",
raiden,"mahie, ","levingy, Madness, meady, Psylo, timi, Wobl, ",
raoul,"charlon, frenzy, jamie, luan, mahie, parsec, r23, senx(x3), skullbro(x2), velani, ","abbearv, Calle W, fout nl, FrankTheFisher, frenzy(x3), fuzzyness, ice(x3), It's Ok If I Lose, jah ridin', mayhem092, meady, mint, nicki, pipsqueak(x2), skullbro, ",
renzo,"jamie, professor pro, ","Chobin, fout nl, Giin, meady, nicki, niklas2912, Psylo, r23, savestate, skullbro, solobattle, ",
rikzz,"23, charlon, daydee, fat tino, fout nl, gg, jamie, king(x2), kingu, kins0, laurster, levingy(x3), mahie, max(x2), niklas2912, parsec, poilon, schima(x2), sharp(x3), shiftingshadows, velani(x2), ","dronin, FrankTheFisher, frenzy(x3), fuzzyness, ice, jah ridin', kingu, kins0(x2), mahie(x2), makenshi, meady(x2), niklas2912, pipsqueak(x2), prins esse, professor pro(x4), skullbro(x2), trif(x3), velani, ",
savestate,"blackh4ze, laurster, max, renzo, ","disot, fout nl(x3), ILikeTurtles, Juice, Lele, max, mint, nebbii, ninjagofan72, noxxa, sharp, steff$, ",
schima,"king, mahie, max, parsec, senx, steff$, ","astar, Floursnail, gg, hot atze sommer, jah ridin', jamie, king, kingu, kins0(x2), makenshi, parsec, Pi, rikzz(x2), ",
senx,"noxxa, paju, steff$, ","CptNebula, jamie, jeapie, mahie, max(x2), meady(x2), raoul(x3), schima, sharp(x2), skullbro, solobattle, Tinker, trif, ",
setchi,"liax, shiftingshadows, ","fat tino, frenzy, max, velani, ",
sharp,"blackh4ze, frenzy, jamie, levingy, mahie, meady, r23, savestate, senx(x2), shiftingshadows(x2), skullbro(x2), yogurt, ","frenzy, humpe, ice(x2), jah ridin', levingy(x2), mahie, noxxa, Padawan, parsec, pipsqueak(x2), Raptori, rikzz(x3), skullbro, timi, trif(x2), yogurt, ",
shiftingshadows,"abbearv(x2), laurster, niklas2912(x3), noxxa, paju, skullbro, velani, ","4kPlaya, abbearv, Axarth, fat tino, gg, ice, laurster, levingy, liax, Madness, mayhem092, meady(x2), Nano, nebbii, Omen, pipsqueak, prins esse, Psylo, RedBlaze, RestlessWhale, rikzz, setchi, sharp(x2), Tinker, velani, ",
skullbro,"abbearv(x2), charlon, fout nl, humpe, jamie(x2), king, kingu(x3), laurster, levingy, mahie, max, meady, noxxa, raoul, renzo, rikzz(x2), senx, sharp, steff$, timi, trif, velani, ","big irf, Calle W, EuO, fout nl(x2), frenzy(x3), ice(x4), jah ridin'(x2), Jayson, jeapie, jim morrison, kins0, mahie(x2), meady, nicki(x3), professor pro, raoul(x2), sharp(x2), shiftingshadows, solobattle, steff$, ",
solobattle,"frenzy, fuzzyness, ice, jah ridin'(x2), jamie(x2), jeapie, kins0, levingy, mahie, meady(x2), mint, nicki, prins esse, renzo, senx, skullbro, ","frenzy(x2), leffen, levingy, mint, nicki(x2), pipsqueak(x2), trif(x2), ",
steff$,"noxxa, paju, savestate, skullbro, ","Aiika, Duman, ice, Manio, max, meady, Meatzorz, ozjung, parsec(x2), pipsqueak(x2), poilon, Saile, schima, senx, skullbro, ",
timi,"blackh4ze, bose, charlon, jim morrison, kingu, levingy, meady, mint, noxxa, r23, raiden, sharp, velani, ","fat tino, frenzy, humpe, jah ridin'(x2), liax, meady(x2), Moe, pipsqueak, skullbro, velani, ",
trif,"fat tino, frenzy(x7), humpe, ice(x3), isdsar, jah ridin'(x2), jamie, jeapie, jim morrison, kins0(x3), levingy, mahie, malmortis, meady(x3), mint(x2), nicki(x3), noxxa, pipsqueak(x3), r23, rikzz(x3), senx, sharp(x2), solobattle(x2), ","frenzy(x2), leffen(x5), levingy, mahie, max, pipsqueak, professor pro(x2), skullbro, ",
velani,"blackh4ze(x2), bose, humpe, jamie, malmortis, paju, parsec, rikzz, setchi, shiftingshadows, timi, ","bose, frenzy(x3), fuzzyness, ice, jah ridin', laurster, Martin, meady, noxxa, Okameed, pipsqueak, professor pro(x3), Psylo, raoul, rikzz(x2), shiftingshadows, skullbro, Tellman, timi, Zepple, ",
yogurt,"king, paju, sharp, ","jah ridin', Kaese, liax, meady, nicki, NVZ, parsec, pipsqueak, sharp, Zapp, ",
