ETossed,23,big irf,abbearv,abbson,amsah,blackh4ze,bose,charlon,charon,marlo,daydee,dronin,fat tino,fout nl,frenzy,fuzzyness,gg,humpe,ice,isdsar,jah ridin',jamie,jeapie,jim morrison,king,kingu,kins0,laurster,leffen,levingy,liax,luan,mint,mahie,makenshi,malmortis,marah,max,mayhem092,meady,modestmajor,nicki,niklas2912,ninjagofan72,prins esse,noxxa,paju,parsec,pipsqueak,poilon,poppmaister6000,professor pro,r23,raiden,raoul,renzo,rikzz,savestate,schima,senx,setchi,sharp,shiftingshadows,skullbro,solobattle,steff$,timi,trif,velani,yogurt,Other losses

kins0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-0,1-0,2-2,0-0,0-0,0-0,0-2,0-0,3-1,1-0,1-0,0-0,1-0,0-0,N/A,0-1,0-3,1-0,2-0,1-0,1-0,1-0,0-0,0-0,0-0,3-0,0-0,3-0,0-0,1-3,0-0,0-0,0-0,1-0,0-0,1-0,1-4,2-0,0-0,1-2,0-0,0-0,0-0,0-0,2-1,0-0,2-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-3,0-0,0-0,,

laurster,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,1-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,1-0,0-0,0-2,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,1-1,0-1,0-0,0-0,0-0,0-0,1-0,0-0,"Calle W,Matt Smith,NVZ,Gr4pe,Spino,Ludderix",

leffen,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,3-0,1-0,0-0,0-0,1-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,N/A,0-0,0-0,0-0,1-0,1-0,1-0,0-0,0-0,1-0,0-0,1-0,0-0,3-0,0-0,1-0,0-0,0-0,0-0,0-0,2-2,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,5-0,0-0,0-0,,

levingy,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-2,1-0,0-0,0-0,0-0,0-0,1-2,1-0,0-0,0-0,1-0,2-0,0-1,0-0,0-0,N/A,1-0,0-0,1-1,2-0,0-1,0-0,0-0,0-0,1-0,2-0,0-0,0-2,0-0,1-0,0-1,2-0,1-0,1-0,0-0,0-0,0-0,0-2,0-0,1-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,2-1,1-0,0-1,1-1,0-0,0-1,1-1,0-0,0-0,,

liax,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-1,0-2,0-0,0-0,0-1,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-1,0-0,0-0,0-1,0-0,0-2,0-1,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,"Madness,NVZ,Raptori,RedBlaze,Paytay",

