ETossed,Wins,Losses
S2J,"Akir, Albert, Android 0(x3), Aura(x2), Axe(x2), Azel, Ben(x3), Blues Clues(x2), bobby big ballz(x18), Dacky(x3), Eddy Mexico, FatGoku(x3), Fiction(x2), Fizzwiggle, Franz, Gahtzu, Ginger(x2), htwa, Hungrybox(x4), iBDW(x3), Jflex(x2), Jmook, Kalamazhu(x2), Khryke, KoDoRiN(x7), Logan(x2), Lucky(x4), Magi(x2), Medz(x4), moky, n0ne/ Bond / wizzyfan109, NoFluxes, NOOT(x2), null(x3), nut, OkayP.(x2), Palpa(x2), Panda, Pappi(x4), Quaff(x4), Rei, Ringler, Rocky(x5), Ryobeat, SDJ(x6), SFAT(x5), Shroomed(x2), SluG, Smashdaddy(x2), Soonsay(x3), TheSWOOPER, Typhoon, Umarth, Westballz, Zain, Zamu, ","2saint(x4), Albert, bobby big ballz(x2), FatGoku(x2), Fiction(x4), Gahtzu, Hungrybox(x2), iBDW(x2), KoDoRiN(x4), Lucky(x4), n0ne/ Bond / wizzyfan109, OkayP., Pappi, Rocky(x3), SFAT(x5), SFOP, Zain(x2), ",
Fiction,"Android 0(x6), ARMY, bobby big ballz, Casper(x12), Franz, Jflex, KoDoRiN(x2), Komodo, Lucky(x4), Luigi Ka-Master, Medz, Mot$, n0ne/ Bond / wizzyfan109, null(x12), nut(x5), Ober, Panda, Ringler(x2), Rocky, S2J(x4), SFOP, Smashdaddy(x3), Sock, Sora/Joshman(x2), Spark, Tai, Westballz(x8), ","Albert, Android 0(x2), ARMY, Asashi, Casper, Colbol, Faceroll, FatGoku(x2), Franz(x2), Ginger(x2), Hungrybox, KoDoRiN(x5), Lucky, ManRay, Nicki, null(x2), nut, Plup, S2J(x2), SFAT, Spark(x2), Westballz(x3), ",
SFAT,"2saint(x2), Aklo(x4), Albert(x3), ARMY, Aura(x2), Axe(x3), Ben, Blues Clues(x4), bobby big ballz(x9), Bones, Chem, Dawson(x2), DontTestMe, Eddy Mexico, Faceroll, Fiction, Forrest, Free Palestine(x3), Gahtzu(x2), Ginger, Hax$(x3), KoDoRiN(x6), lloD, Logan(x2), Lucky(x2), Mang0, Medz(x3), Mot$, n0ne/ Bond / wizzyfan109(x2), Pappi(x5), Plup, Professor Pro, Quaff(x2), Rocky(x5), S2J(x5), Salt, SFOP(x2), Smashdaddy(x2), Soonsay, Sora/Joshman, Tai, The Leaf, Travioli, Typhoon, Wizzrobe(x2), Zamu(x2), Zealot, ","Aklo, aMSa, bobby big ballz(x5), Epic Murloc, Gahtzu, Ginger(x2), Hungrybox(x3), iBDW(x3), KoDoRiN(x6), Magi(x3), Plup(x3), Rocky, S2J(x5), Smashdaddy, Soonsay, Trail, Wizzrobe(x2), Zain, Zamu, ",
moky,"2saint(x2), Akir, Aklo, Axe, Bbatts, bobby big ballz(x2), Bones, Dacky, Drephen, Forrest, Gahtzu, Ginger(x3), Hax$, Jflex(x2), Jmook, n0ne/ Bond / wizzyfan109(x2), Ober, Polish, Soonsay, Whiskers, Wizzrobe, Zeeker, ","Aero, DontTestMe(x2), Ginger, Hungrybox(x2), iBDW, JHTL, Joey Donuts, Kalamazhu, KoDoRiN, Logan, Mang0(x2), n0ne/ Bond / wizzyfan109(x2), S2J, Siddward, Suezo, Swami, Syrox(x2), totally butts, Zain, ",
n0ne/ Bond / wizzyfan109,"2saint, Aklo(x3), Albert, Azel, Bbatts, Ben(x7), bobby big ballz(x6), Dacky, Eddy Mexico(x3), Fank(x2), Far!, FatGoku, Fizz, Forrest, Ginger(x8), Grab, Hungrybox(x2), Jflex(x3), JSalt(x4), Juicebox, K8A, Kata, KoDoRiN(x4), Logan, Lucky(x3), Magi(x3), moky(x2), Mot$, NoFluxes, nut, OkayP.(x2), Panda, Polish, S2J, Salt, Skerzo, Slowking, Soonsay(x2), Swift, TheSWOOPER, Trail, Travioli(x2), Unsure, Wizzrobe, Zamu(x2), Zeeker, Zuppy(x3), ","2saint(x2), Aklo(x2), aMSa, Ben, Colbol, Fiction, Gahtzu(x3), Ginger, Hungrybox(x5), Jmook, KoDoRiN(x3), lloD, Lucky(x3), Mang0, moky(x2), Mot$, OkayP.(x2), Panda, Plup(x2), Polish, S2J, SFAT(x2), SluG, Zain, ",
Trif,"Aklo, aMSa, Axe, Ben, Faceroll(x2), Frenzy(x8), Ice(x3), Jah Ridin'(x2), Kins0(x3), MINT(x3), Nicki(x3), Pipsqueak(x3), Professor Pro, Solobattle(x2), Sora/Joshman, ","Frenzy(x2), Leffen(x5), Levingy, Mahie, max, Pipsqueak(x2), Polish, Professor Pro(x3), skullbro, Wizzrobe, ",
Faceroll,"Albert(x2), Android 0, Ben, billybopeep, Fiction, Jflex, Kalamazhu(x2), KJH, KoDoRiN(x4), Magi, Medz, Mot$, Neologism, Pappi, Sora/Joshman, ","Aklo, Axe(x2), Gahtzu, Lucky(x3), null, Plup(x2), SFAT, Spark, Trif(x2), ",
Hax$,"2saint, Aklo(x3), Bbatts, Ben(x3), Blues Clues, bobby big ballz(x3), Chem, Drephen, Fank, FatGoku, Fizz, Gahtzu(x2), Hungrybox(x2), Jflex, Kalamazhu, KoDoRiN, lloD, Logan(x3), Mekk, Mot$, Pappi, Rishi, SDJ, SFOP(x2), SluG(x2), Soonsay, Suezo, Trail, Zuppy, ","bobby big ballz, Chem, FatGoku, Gahtzu, Ginger(x2), Hungrybox, Jflex, Logan, moky, Neologism, Pappi, SFAT(x3), ",
Swedish Delight,"Jflex(x2), Lotfy, Mekk, Mot$(x2), NoFluxes, TheSWOOPER, Wally, ","Jflex, Kage, Prometheus, ",
Lucky,"Albert, Android 0(x3), ARMY, Azel(x2), Bbatts(x2), Ben(x2), Blues Clues(x4), bobby big ballz(x10), Chudat, Dacky(x2), Drephen, Eddy Mexico, Faceroll(x3), FatGoku, Fiction, Gahtzu, Hungrybox, Jflex(x5), Justus(x2), Kalamazhu, KoDoRiN(x5), Lotfy, Medz(x3), Michael, Mot$, n0ne/ Bond / wizzyfan109(x3), NOOT, null(x5), Pappi(x4), Polish, Rocky(x2), S2J(x4), Salt, Shroomed, Skerzo, Slowking(x2), Smashdaddy(x3), Spark, Squid, TheRealThing, TheSWOOPER, Travioli, Typhoon(x2), Umarth, Westballz, Zamu, ","aCID, Aklo, Android 0, Asashi, Azel, Ben, Blues Clues, bobby big ballz(x8), Casper, Dacky, Eddy Mexico, Fiction(x3), Gahtzu(x2), Ginger(x2), Goosekhan, KoDoRiN(x10), Kürv, Logos, Magi, Mang0, Medz, MrG, mvlvchi, n0ne/ Bond / wizzyfan109(x3), null, Palpa, Pappi, Plup, Polish, RedX, Rishi, Rocky(x2), S2J(x4), SFAT(x2), SFOP, Smashdaddy, Soonsay, Spark(x2), Steech, TheRealThing, Wassabi, Westballz(x3), Wizzrobe, yingling, ",
