ETossed,Wins,Losses
Kalvar,"Akir, Fizz, Forrest, Khryke, Komodo, Mot$(x2), NoFluxes, Skerzo, The Leaf, TheSWOOPER, Trail(x3), Travioli, Wally, Warmmer(x2), Zeeker, ","Aklo, Bank, Bbatts, Ben(x3), Bigbuffalo, Clutch(x2), CmG(x2), Colbol, Dawson, Dixon B. Tweenerlegs, Dom, DrewNG, DrLobster(x2), Duo, Eggy, grownworkingman, htwa, Hunybear, iBDW, Intern, Jamrun, Jflex(x2), Jojo, JSalt, Kikoho, Lotfy, Mekk, Mot$, NoFluxes(x2), Penn, Prometheus, Sandy, SDJ, Seven, sunriseXpress, TzD, Wally(x3), Zeeker, Zuppy, ",
Polish,"Aklo, Axe, Ben(x3), Blues Clues, bobby big ballz(x2), Bones, Chape, Chem, Colbol, Dawson(x2), Drephen, Free Palestine(x2), Gahtzu, Ginger, Grab, Hungrybox(x2), iBDW, Ice, Juicebox(x2), Khryke, KoDoRiN(x2), Krudo, lloD(x7), Lucky, Magi(x3), Michael(x2), Morsecode762, n0ne/ Bond / wizzyfan109, Nicki, Ober, Pipsqueak, Rishi, Skerzo, Spark, TheSWOOPER(x3), Travioli, Trif, Unsure, Wally(x3), Zamu(x2), ","Aklo(x2), Ben(x2), Erik, FatGoku, Free Palestine, Gahtzu, Ginger(x3), iBDW(x2), Jada, Jmook, KoDoRiN, lloD, Lucky, moky, n0ne/ Bond / wizzyfan109, Panda, Pipsqueak, Rishi, Rocky, TheRealThing, Wizzrobe, Zain, Zamu(x3), ",
Tai,"billybopeep, bobby big ballz, Mekk, ","Ben, Fiction, Fizzwiggle, Kalamazhu, null, Ringler(x2), Rishi, SDJ, SFAT, Soonsay, ",
Squid,"Android 0, Eddy Mexico, Franz, Justus, Ober, Sock, ","Android 0, Bladewise, bobby big ballz, cliché, DD(x2), Dova, Eddy Mexico, Franz, haunter, Kalamazhu, Lucky, MegaXmas, PanterA, Phorox, Rei(x2), Salt, Smashdaddy, Sora/Joshman, Steech, SuperCuak, Westballz(x2), Zamorita, ",
Forrest,"Akir, Aklo, Blues Clues, bobby big ballz(x3), Bones(x2), Colbol, Dawson, Freezus, htwa, Jflex, JSalt(x2), K8A, Kata(x2), Khryke, Komodo, Krudo(x3), Mekk(x2), Mot$, NOOT, Panda(x3), SFOP(x2), Suezo, Trail, Travioli, Typhoon, Zuppy(x3), ","Akir, Axon, bobby big ballz(x4), Bones, Colbol(x3), Dawson, Dope, Drephen, Eddy Mexico(x2), Inky(x2), Jamrun(x2), Jflex, Jimmy Jockstrap, Joey Donuts, Kalvar, Komodo(x4), Koobie, Krudo(x2), moky, n0ne/ Bond / wizzyfan109, OkayP., Panda(x5), Penn, Profanity, SDJ, SFOP, Syrox, TheSWOOPER, Toast, Travioli, Unsure, Vinsanity, Voo(x2), Younger, Zamu, Zuppy(x2), ",
KoDoRiN,"2saint, Aklo, Android 0(x8), Aura(x5), Azel(x2), Ben(x10), Blues Clues(x5), bobby big ballz(x8), Casper, Dacky, Dawson(x2), Drephen, Eddy Mexico(x5), Fank, Far!, FatGoku, Fiction(x5), Franz(x2), Gahtzu(x5), Ginger(x7), htwa, Hungrybox, iBDW, Jah Ridin', Jflex(x2), Jojo, JSalt, Justus, K8A(x2), Kalamazhu, Kata, Logan, Lucky(x10), Magi(x3), Medz(x2), Mew2King, moky, Mot$, n0ne/ Bond / wizzyfan109(x3), NOOT(x2), null(x6), Ober, Palpa, Panda(x2), Pappi(x4), Polish, Quaff(x2), Rei, Rocky(x3), S2J(x4), Salt(x2), SDJ(x8), SFAT(x6), SFOP(x3), Skerzo, Soonsay(x4), Sora/Joshman, Suezo(x2), Unsure, Wally, Warmmer(x2), Westballz(x2), Whiskers, Zamu, Zeeker, ","2saint(x2), Aklo, Android 0(x3), Aura(x3), Axe(x3), Ben(x2), bobby big ballz(x4), Buckets, Easy, Egg$, ESPONJA, Faceroll(x4), Far!, Fiction(x2), Free Palestine, Gahtzu(x2), Ginger(x3), Hax$, Hungrybox(x4), iBDW(x2), Jflex, LAG, lloD, Logan, Logos, Lucky(x5), Mang0(x2), n0ne/ Bond / wizzyfan109(x4), Neck, null, Oreo, Panda, Pappi(x2), Plup(x4), Polish(x2), Redcoat, Ringler, S2J(x7), SFAT(x6), SluG, Soonsay(x3), SquidTheCat, Swift, The Crimson Chin, Wally, Wizzrobe(x2), Yamasaki, ycz6(x2), Zain(x2), ",
Free Palestine,"Eggy, KoDoRiN, Mot$, Polish, Travioli, Zamu(x2), ","aMSa, Chem, Hungrybox, Juicebox, KJH, Mang0, Pipsqueak, Polish(x2), SFAT(x3), Skerzo, ",
Ryobeat,"bobby big ballz, Bones, DontTestMe, Drephen, Jojo, Koobie, Kuyashi(x2), Salt, Slowking, Suezo, Swift, TheSWOOPER, Travioli, Wally(x2), ","2saint, Ben, bobby big ballz, Gahtzu, Ginger(x3), Jojo, JSalt, Logan(x2), Mot$, MT, S2J, Skerzo, TheSWOOPER(x2), Wally(x2), Warmmer, Zain, Zamu(x3), ",
Luigi Ka-Master,"Aura, ","Aura, Azel, Bladewise, FatGoku, Fiction, Hungrybox, Nicki, Pocket Sand, Sock, Stiv, ycz6, ",
KÃ¼rv,"","",
Frenzy,"Aura, Ice(x6), Jah Ridin'(x3), Jmook, Kins0(x3), Krudo, Leffen, MINT(x6), Nicki, Panda(x2), Pipsqueak(x3), Professor Pro(x9), Solobattle(x6), Trif(x2), Unsure, ","abbearv, Albert, Ice, Jah Ridin', Kingu, Kins0(x2), Leffen(x4), Levingy, Meady(x3), Mew2King, MINT(x2), Nicki(x3), Niklas2912, Nintendude, Pipsqueak(x7), Prins Esse, Professor Pro(x6), raoul, Sharp, Solobattle(x8), Trif(x8), Wizzrobe, ",
bobby big ballz,"2saint, Aklo(x6), Android 0, Aura(x3), Axe(x2), Ben(x13), Blues Clues(x8), Bones(x5), Chem(x5), Colbol, Dacky(x4), Dawson(x14), Drephen(x6), Eddy Mexico(x10), Eggy(x3), Fank(x2), Far!, Forrest(x5), Freezus, Gahtzu(x4), Ginger(x5), Grab(x3), Hax$, htwa(x5), Jflex(x16), Jmook(x2), Jojo(x3), JSalt(x10), Juicebox(x2), Justus(x5), K8A(x4), Kata(x5), Khryke(x3), KoDoRiN(x4), Komodo(x4), Koobie(x4), lloD, Lotfy(x8), Lucky(x8), Medz(x6), Michael(x2), Mot$(x3), Neologism, NoFluxes(x3), NOOT(x7), Palpa(x2), Panda(x3), Pappi(x12), Quaff(x2), Rei(x2), Rocky(x8), Ryobeat, S2J(x2), Salt(x7), SDJ(x13), SFAT(x5), SFOP(x6), Shroomed, Skerzo, Slowking, Smashdaddy(x4), Soonsay(x5), Squid, Suezo(x5), The Leaf(x4), Travioli(x3), Typhoon(x9), Umarth, Unsure(x2), Warmmer(x3), Westballz(x2), Whiskers(x2), Zain, Zamu(x4), Zealot, Zeeker(x4), Zuppy(x4), ","2saint(x2), aCID, Akir, Aklo(x16), Albert(x2), Amrak, Aura, Axe(x2), Axon, Babe Gungley, Bananas, Bbatts(x2), Ben(x8), Bimbo, Blassy, Blues Clues(x2), Bones(x3), Brand0, Buttlet(x2), Chango, Chem, Cilan, CmG, Colbol(x2), Dacky(x2), DarkHero(x3), Dawson(x2), DD, DontRestMe, DontTestMe, Dova(x2), Dream, Drephen(x8), Eddy Mexico(x9), Egg$, Faust(x2), Fiction, Floppy, Forrest(x3), Fury, Gahtzu(x12), Ginger(x14), Golden(x2), Hax$(x3), HaxMoneyHulkHogan, htwa(x3), Hungrybox(x8), Husband(x2), Iifter(x2), INDY, Iron, Ivayne(x2), Jank, Jflex(x4), JHTL, JJM, Jmook, Jo3dirt, Joey Donuts, JSalt(x3), Just Jason, Kapachi, Kata(x2), Knut, KoDoRiN(x8), Komodo, Koobie, Kürv(x4), LAG, lloD, Logan(x4), Lucky(x10), Magi, Matteo, Medz(x7), Midnight Blue, mintea(x2), Missinglinc, MOF(x2), moky(x2), Mucho Man Randy Passion, n0ne/ Bond / wizzyfan109(x6), Neologism(x4), NoFluxes(x5), null, OkayP.(x2), Palpa, Pancakes, PanterA, Pappi(x17), Phantom Airline, Pilot, Polish(x2), prof, Quaff(x5), Rocky(x5), Ryobeat, S2J(x18), Salt(x3), SDJ(x9), SFAT(x9), SFOP(x7), Shroomed, Skerzo, Slowking(x3), SluG, Smashdaddy(x3), soccermom69, Soonsay(x2), SpacePigeon, Steech, Stiv, Swift, Syrox, Tai, TheSWOOPER, Townes, Typhoon(x3), Umarth, Umbr, Unsure, Vish, Westballz, Wevans(x2), William, Yamasaki, yingling, Zain, Zamu, Zealot, Zeeker(x2), Zuppy(x3), ",
Franz,"Android 0(x2), ARMY(x2), Casper(x5), Fiction(x2), null(x3), nut, Ringler, Squid, Umarth, ","AJ, Android 0(x6), Axe, Casper(x5), Dacky, Fiction, Kevbot, Khalid, KoDoRiN(x2), Kürv, Mist, null, rom(x3), S2J, Squid, Westballz, Xela(x3), ",
Nicki,"Fiction, Frenzy(x3), Jah Ridin', Kins0(x3), Luigi Ka-Master, MINT(x3), Pipsqueak, Solobattle(x3), ","Charon, Frenzy, Hungrybox, Ice(x2), Kins0, Leffen(x4), Mahie, MINT(x2), Pipsqueak(x4), Polish, Professor Pro(x2), Sock, Solobattle, Trif(x3), ",
TheRealThing,"2saint(x2), Ben, Bones(x3), Far!, FatGoku, Flash, Just Jason, Justus, Lucky, Polish, Shroomed, Skerzo(x2), Travioli, Unsure, Warmmer, Zealot, ","2saint(x3), Axe, Colbol, Hungrybox, K8A, Logan, Lucky, Magi, Michael, Morsecode762, Mot$, SluG, Zamu, ",
Umarth,"bobby big ballz, Justus(x2), Mekk, NOOT, Typhoon, ","AJ, Azel, Bbatts, blargh257, Blues Clues, bobby big ballz, CPU0, Darkatma(x2), Dova, Eddy Mexico, FatGoku, Fizzwiggle, Franz, haunter, Hungrybox, Jet, Kevbot(x5), Logos, Lucky, Medz, NOOT, Pappi, Rocket, Rocky(x2), S2J, SluG, Smashdaddy, Typhoon, ",
Rocky,"2saint, Android 0(x2), Aura(x2), Azel(x2), Ben, Blues Clues, bobby big ballz(x5), Chem, Dacky(x2), Eddy Mexico, Fank, Gahtzu, Jflex, Justus, Krudo, Logan, Lucky(x2), Medz, Panda, Pappi(x5), Polish, Rei, S2J(x3), Secrets, SFAT, SFOP, Shroomed, Slowking, Smashdaddy, Typhoon, Umarth(x2), Zealot(x2), Zuppy, ","Ben, Blues Clues, bobby big ballz(x8), Dacky, Fiction, Ginger, Hungrybox, Jflex, Kalamazhu, KoDoRiN(x3), KoopaTroopa895, Logan, Lucky(x2), Magi, MT, Quaff(x2), S2J(x5), Salt, SFAT(x5), Wizzrobe, Zamu, ",
htwa,"Akir, Aura, Bbatts, Blues Clues(x2), bobby big ballz(x3), Chem(x4), Colbol, Dawson, DontTestMe, Drephen(x2), Freezus, Jflex(x2), JSalt(x2), Just Jason(x2), Justus, K8A(x2), Kalvar, Khryke(x2), Koobie, Mekk, NoFluxes, Panda, Pappi(x2), Salt, Skerzo, Trail, Zeeker(x2), Zuppy, ","Aklo, Azel, Bbatts(x2), Ben(x4), bobby big ballz(x5), Bones(x4), Chem(x3), Colbol(x4), Cpt Darling, Dacky, Dawson, DontTestMe(x2), Drephen, Eddy Mexico, Epoodle, Excel Zero, Fank, Forrest, Gahtzu(x2), i still love you, JCAM, Jflex(x2), Joey Donuts, Jojo, JSalt(x2), Kata(x7), KELLZ, Kevin Maples, Khryke(x2), Kitcatski, KoDoRiN, Komodo(x4), Koobie, Kuyashi, LAG, LLDL, Logan(x2), LuigigoShard, Maher, Michael, MOF, MT, NoFluxes, Oaty, Paladin, Panda, Pappi, Peachy Keen, Pi#374, Quaff, rabit!(x2), Russell, S2J, Salt, SDJ, Seven, SFOP, Sicca(x2), Swift, TheSWOOPER, TPN, Unsure, Young, YungWaff, Zamu(x2), Zeeker, Zuppy, Zuraco, ",
Panda,"Akir, Bbatts(x2), Ben(x4), Colbol, Dawson(x2), Fizz, Forrest(x5), Gahtzu, htwa, Jah Ridin'(x2), Jflex, Justus, K8A, Khryke(x5), KoDoRiN, Komodo(x4), Krudo(x5), Medz, Mot$(x2), n0ne/ Bond / wizzyfan109, NoFluxes(x3), Polish, Shroomed, Slowking, Suezo(x4), The Leaf, TheSWOOPER, Trail, Unsure, Zeeker(x5), Zuppy(x4), ","Ahmad, Aklo(x3), Bbatts, Ben, bobby big ballz(x3), Bones(x2), Captain G, Colbol(x2), E-tie, Fank, Forrest(x3), Frenzy(x2), Gahtzu(x2), Ginger(x2), htwa, Hungrybox(x3), iBDW, Jflex, Kata(x4), KoDoRiN(x2), Komodo(x2), Kuyashi, lloD, Logan, Lotfy(x2), Louis, Mot$, n0ne/ Bond / wizzyfan109, Neologism, NoFluxes, Oaty, Palpa, Panos, Pappi(x2), prof, Professor Pro, Rishi, Rocky, S2J, Siddward, Slowking, SluG, The Leaf, tiebex, Westballz, Younger, Zamu(x2), Zuppy, ",
TheSWOOPER,"Akir, Bbatts(x5), Ben(x3), bobby big ballz, Casper, Dawson, DontTestMe, Eddy Mexico, Fank, Forrest, Freezus, htwa, iBDW, Jojo(x2), JSalt, K8A(x2), Koobie, Lotfy(x3), Magi, Michael, Mot$(x2), Neologism, OkayP., Pappi, Ryobeat(x2), Shroomed, Skerzo, Slowking, The Leaf, Travioli, Wally(x4), Warmmer(x5), Zamu(x2), Zeeker, ","2saint, Aklo(x4), Ben(x4), Captain Smuckers(x2), Colbol, Dawson, Drephen(x3), DrLobster(x2), Eggy, Gahtzu, Ginger(x2), Jflex(x9), Jojo(x2), JSalt(x3), Just Jason, Kalvar, KJH, Kürv, Logan(x2), Lucky, Mot$(x8), n0ne/ Bond / wizzyfan109, NoFluxes, Panda, Pappi, Polish(x3), Rishi, Ryobeat, S2J, Salt(x2), Swedish Delight, The Leaf, Wally, Warmmer(x3), Whiskers, Wizzrobe, Zamu, Zuppy(x2), ",
Azel,"Aura, Dawson, Eddy Mexico, Gahtzu, htwa, Jflex(x2), Lucky, Luigi Ka-Master, Ober, OkayP.(x2), Pappi, Quaff, Ringler, Salt(x4), Umarth, ","aCID, Aura, Bbatts, Ben, blargh257, Blues Clues(x3), Casper, Gahtzu, iBDW, Joey Donuts, KoDoRiN(x2), Kürv, Logan, Lucky(x2), Medz, mvlvchi, n0ne/ Bond / wizzyfan109, n3zModGod, Nathan, Pappi(x2), Rocky(x2), S2J, Salt(x2), SDJ(x3), Skerzo, Soonsay, ycz6, Zamu, Zealot, ",
Fizzwiggle,"Secrets(x2), Tai, Umarth, Zealot, ","Conman, Far!, MegaXmas, Mekk, polear, Russell(x2), S2J, Secrets(x2), Zealot(x6), ",
Krudo,"Android 0, Aura, Bones, Casper, Chem(x3), Dacky, Dawson(x3), Fank, Forrest(x2), Franz(x2), Freezus, Grab(x2), Jflex(x2), Jojo, JSalt, K8A, Komodo(x3), Kuyashi, Suezo, Unsure, Zuppy, ","Aklo, Axe, Eddy Mexico, Forrest(x3), Frenzy, Gahtzu, Ginger(x2), Golden, Grab, iBDW, Komodo(x2), Kuya, Magi, Michael, Oaty, Panda(x6), Polish, Profanity, Rocky, Skerzo, Slowking, SluG, Suezo, Zamu, Zuppy, ",
Kuyashi,"Aura, Bones(x3), Dawson(x2), Ginger(x2), htwa, Hungrybox, Jflex, K8A, Lotfy, Magi, Morsecode762(x2), Neologism, Panda, Slowking(x5), Travioli(x2), Zeeker, ","Artemis(x2), Artemis Moore, Azzu, Balloon Day, Ben, Brazmonkey, Drephen, Faust, Gahtzu, GI0GOAT, Ginger(x2), Heartstrings(x2), Hungrybox, Jamrun, JCubez, Jflex(x2), Kikoho, KJH, Koobie, Krudo, Logan, Morsecode762(x2), Mot$, Ossify(x3), Robert, Ryobeat(x2), Slowking, tentpoles(x2), ",
Leighton,"Captain Smuckers, Just Jason(x2), Mot$, Zealot, ","Aklo(x2), Captain Smuckers(x2), Jflex, Mot$, Warmmer, ",
null,"Android 0(x5), bobby big ballz, Casper(x4), Chudat, Faceroll, Fiction(x2), Franz, KoDoRiN, Logan, Lucky, Magi, nut(x3), Ringler(x2), Smashdaddy(x2), Tai, Westballz(x2), ","Android 0(x6), Asashi(x2), blargh257, Casper(x3), Eggy, Fiction(x12), Franz(x3), Ginger, Jace, Jflex, KoDoRiN(x6), Leffen, Lucky(x5), Magi(x2), MegaXmas(x2), nut(x2), Ringler, S2J(x3), SFOP, Skerzo, Smashdaddy, Sora/Joshman(x2), Swift, Westballz(x3), Wizzrobe, ",
Smashdaddy,"Android 0, Bbatts, bobby big ballz(x3), Casper, Dawson, Eddy Mexico(x4), Fank, Freezus, Jflex(x2), JSalt, Justus(x2), Koobie, Lucky, Medz(x4), Mekk(x2), Michael(x2), NOOT, null, OkayP., Palpa, Pappi(x4), Quaff(x2), Ringler(x2), Salt(x3), SFAT, Slowking, SluG, Squid, Typhoon(x3), Umarth, Wevans, Zamu, Zealot, Zeeker, Zuppy, ","2saint, aCID, Ben(x2), bobby big ballz(x4), cliché, Dacky(x2), Dova, Eddy Mexico(x3), ESPONJA, Fank, Far!(x4), Fiction(x3), Freezus, Golden, haunter, Hungrybox, Koobie, KoopaTroopa895, Kürv(x2), LAG(x2), Lengüitas, Lucky(x3), Medz, Michael, mintea, NoFluxes, NOOT, null(x2), OkayP., Pappi(x2), Quaff, Rei(x2), Rocky, S2J(x2), Salt, SDJ, SFAT(x2), Shroomed, Soonsay, Stone, SuperCuak(x2), Zamorita, Zamu, Zealot(x6), ",
Sora/Joshman,"Axe, Ben, Ginger, null(x2), nut, Sock(x7), Squid, Westballz, ","Davox22, Faceroll, Fiction(x2), Jmook, KoDoRiN, McCloud, SFAT, Swift, Trif, Zain, ",
Wevans,"bobby big ballz(x2), Casper, K8A, nut, ","Android 0, Becca, Chipotle+, Drephen, Epoodle, Grab, Haq, Jamrun, Jflex(x2), Khryke, Mekk, Mot$, NoFluxes(x3), Nojump(x2), Smashdaddy, Wizzrobe, ",
Akir,"Bbatts(x2), Ben, bobby big ballz, Bones, Chape, Dawson(x2), Forrest, Freezus(x6), Jflex(x2), Just Jason, Justus, K8A, Komodo(x2), Lotfy, Mekk, Neologism(x2), NoFluxes(x3), Ober, Panda, Pappi(x2), Suezo, The Leaf, Travioli(x3), Warmmer(x2), Zeeker(x6), ",".Dempt, 119Mista(x2), 2saint, Bbatts(x5), Ben, Ben Snape, Ceja, Chem, Chudat, CocoBunniez, DaShizWiz, Dawson(x3), Drephen(x5), Dybloons, E-tie, Eddy Mexico, Egg$, Eggy(x2), Epoodle, Equilateral(x3), eve, Forrest, Freezus(x3), gdawg, Ginger(x2), Googlyeyed, htwa, Hungrybox(x2), Inky, Jada, Jammy, Jamrun, Jflex(x5), Joey Donuts, Jojo, JSalt(x10), K8A, Kalamazhu, Kalvar, Kami Buckets(x2), Khryke(x2), Komodo(x2), Koobie, LGBTQ+(x2), Logan, Logos, Lotfy(x2), LuigigoShard, Lunar Dusk, Mad Tyro(x2), MOF, moky, Morsecode762, Mushu, mvlvchi, Nanami (aka PurpleZ)(x2), NoFluxes, Paladin, Panda(x5), Peachy Keen, Prometheus, Quaff, Reesch, Rongunshu, S2J, Secrets, Seven(x2), Sicca, Siddward(x4), Sirmeris, Skerzo, Slowking, Slypig, Snap, Stiv(x2), Suezo, TheSWOOPER, TPN, Travioli, Unsure, Vianny, Vinson, Warmmer(x2), Wes, Wizzrobe, ",
Aklo,"2saint(x4), Albert, Aura, Axe(x3), Bbatts(x3), Ben(x4), Blues Clues(x3), bobby big ballz(x16), Bones(x2), Captain Smuckers(x4), Chem, Colbol(x3), Dawson, DontTestMe(x2), Drephen(x2), Eddy Mexico(x2), Eggy, Faceroll, Fank, Fizz, Gahtzu(x3), Ginger(x3), Grab, htwa, Hungrybox(x2), iBDW, Jflex(x11), Jmook, Jojo, JSalt(x7), Just Jason(x4), K8A(x3), Kalvar, KoDoRiN, Krudo, Leighton(x2), lloD(x3), Logan(x3), Lotfy, Lucky, Michael(x2), Mot$(x3), n0ne/ Bond / wizzyfan109(x2), Neologism, NoFluxes(x3), Panda(x3), Pappi, Polish(x2), Rishi(x3), Salt, SFAT, SFOP(x3), Shroomed, Slowking, SluG(x2), Suezo(x4), Swift(x2), TheSWOOPER(x4), Trail, Travioli(x2), Unsure(x2), Wally(x3), Warmmer(x3), Whiskers(x2), Zain, Zamu(x4), Zuppy(x4), ","2saint, aMSa, Axe, Bbatts, Ben(x4), Blea Gelo, bobby big ballz(x6), DontRestMe, Forrest, Gahtzu(x2), Ginger(x5), Grab, grownworkingman, Hax$(x3), Hungrybox(x9), Ice, Jamrun, Jflex(x4), Jmook, Kalamazhu, Kata, KoDoRiN, Kürv, lloD, Logan(x4), Lunar Dusk, Magi, moky, n0ne/ Bond / wizzyfan109(x3), Nathan, Plup, Polish, SFAT(x4), SFOP, Sicca, Swift(x2), Trif, Wally, Warmmer, Wizzrobe(x3), Younger, Zain, Zamu, Zuppy(x3), ",
Android 0,"Casper(x7), Fiction(x2), Franz(x6), KoDoRiN(x3), Lucky, null(x6), nut(x4), Ringler, Salt, Secrets, Shroomed, Sock, Squid, Westballz, Wevans, ","Albert, ARMY, Asashi, Aura, Axe, bobby big ballz, Casper(x3), cliché, Eddy Mexico, Faceroll, Fiction(x6), Franz(x2), haunter, Jace, KoDoRiN(x8), Krudo, Kürv(x3), Lengüitas, Lucky(x3), MegaXmas(x3), null(x5), nut(x2), Owl, Pappi, Rei, Rocky(x2), rom, S2J(x3), salami(x2), Santiago(x2), SDJ, Smashdaddy, Squid, Venelox(x2), Westballz(x3), ",
Bbatts,"2saint, Akir(x5), Aklo, Aura(x5), Azel, Ben(x2), Blues Clues, bobby big ballz(x2), Bones(x2), Chape(x2), Chem(x2), Dawson(x8), DontTestMe, Eggy(x3), Fank(x5), Fizz, Freezus(x5), Ginger, htwa(x2), Jflex(x5), Jojo, Juicebox(x2), K8A(x5), Kalvar, Kata(x2), Khryke(x3), Koobie, Lotfy(x9), Morsecode762, Mot$, Neologism(x2), NoFluxes(x13), Ober, OkayP., Panda, Ringler, Salt, Skerzo, Slowking, SluG(x2), Soonsay, Suezo(x2), Swift, The Leaf, Trail(x4), Travioli(x4), Umarth, Wally, Warmmer, Whiskers, Zamu, Zeeker(x7), ",".Dempt, 0oh, 119Mista, 2saint, 404Cray, aCID, Ahmad, Akir(x2), Aklo(x3), Albert, allie, Ambisinister, bambi, Becca(x2), Ben(x2), Bladeefan829, Bones(x2), Brub, Captain G(x2), Captain Smuckers, Chem, Chiefn_(x2), Dawson(x2), DevDogg, Dirty Lasagna, Douglas.J.Gov, Drephen(x2), Drio, E-tie, Eddy Mexico, EduPorp, Epoodle, Erik, Error, Fable, Fank, Freezus(x2), Fro116, gdawg, Ginger(x2), Gingerham, GodTouch, Golden, Gooms, Goosekhan(x2), Grab(x3), grownworkingman, Harout, Hax$, HOBORG, htwa, Hungrybox(x2), I'm Michael BTW, iLL BiLL, Jamrun(x5), Jflex(x6), JJM(x4), Joe(y) Bats, Joey Donuts, Jojo(x2), JSalt(x10), Justin Joe, Kapachi, Khryke(x5), Kitcatski, Komodo, Koobie(x2), Krizski, Kürv(x2), Lama, Logan(x5), Lotfy(x5), Lucky(x2), Lunar Dusk(x2), Magi(x3), Majersk, maxi, MC David, mgmg(x2), Michael, Mike Quiggles, moky, MOM!(x3), Mono, Morsecode762, Mot$(x7), Muscoman, n0ne/ Bond / wizzyfan109, Neologism, NoFluxes(x6), NOOT, OtES, Panda(x2), PanterA, Pappi(x3), Pelipper, Plank, Preeminent, Professor Pizza, Prometheus, rabit!(x2), Rishi, Salt(x6), sambob, Sandbag(x2), SDJ, Shamunt, Shoop, Siddward(x2), Slowking(x3), SloX, Smashdaddy, SnooSnoo, Son2, Soonsay, Suezo, Swift, Switch, TheSWOOPER(x5), Toffee, Tommy(x5), Travioli(x5), Troy, ULTO, Unsure(x2), Wally(x3), Warmmer(x3), Weeg, Whiskers, William, Younger(x2), Zamu(x2), Zanya, Zeeker(x3), Zuppy, ",
Ben,"2saint, Akir, Aklo(x4), Albert(x2), Azel, Bbatts(x2), Blues Clues(x7), bobby big ballz(x8), Bones(x7), Chem, Colbol, Dawson(x5), Drephen(x2), Eddy Mexico(x3), Eggy(x3), FatGoku, Fizz, Forrest, Freezus(x2), Gahtzu(x2), Ginger(x3), Grab(x5), htwa(x4), Hungrybox(x9), Jflex(x13), JSalt(x3), Justus(x3), K8A(x2), Kalvar(x3), Kata, Khryke(x2), KoDoRiN(x2), Komodo(x4), Koobie, Kuyashi, lloD, Logan(x4), Lucky, Magi, Medz(x2), Mekk, Michael(x3), Mot$(x4), n0ne/ Bond / wizzyfan109, Neologism(x3), NoFluxes(x4), Ober(x2), Panda, Pappi(x10), Polish(x2), Quaff, Rei(x2), Rocky, Ryobeat, Salt, SDJ(x2), Shroomed, Skerzo, Slowking(x3), Smashdaddy(x2), Suezo(x2), Swift, Tai, TheSWOOPER(x4), Trail, Travioli(x3), Unsure(x2), Wally, Westballz, Wizzrobe, Zain, Zamu(x4), Zeeker(x2), Zuppy, ","Akir, Aklo(x4), Albert, Ambisinister, Axe(x3), Bbatts(x2), Blea Gelo, bobby big ballz(x13), Bones(x2), CocoBunniez, Colbol(x6), Dacky, DannyPhantom, Dawson, Dimension(x3), DontRestMe, DontTestMe, Drephen(x5), Eddy Mexico(x2), Faceroll, FMB5k, Gahtzu(x10), Ginger(x8), Hax$(x3), Hungrybox(x6), iBDW, Jflex(x4), JSalt(x4), Just Jason, K8A, Kalamazhu(x2), Kata, KoDoRiN(x10), Komodo, lloD, Logan(x7), Lucky(x2), Lunar Dusk, Magi(x2), Medz, MOM!, Mot$, n0ne/ Bond / wizzyfan109(x7), Neologism, OkayP., Panda(x4), Pappi(x3), Plup, Polish(x3), Preeminent(x3), prof, Reeve, Rocky, S2J(x3), Salt, SFAT, SFOP(x2), Slowking(x2), SluG(x3), Soonsay(x2), Sora/Joshman, TheRealThing, TheSWOOPER(x3), Trail, Trif, Warmmer, Zamu(x2), Zealot(x3), Zuppy(x2), ",
Blues Clues,"Aura, Azel(x3), bobby big ballz(x2), Bones, Dawson, Fank(x2), Freezus, Hungrybox, Jflex, Justus(x3), K8A(x2), Khryke, Lotfy, Lucky, Medz, Ober, OkayP., Pappi(x4), Rocky, SDJ, SFOP, Skerzo, Suezo, The Leaf(x2), Trail, Typhoon(x6), Umarth, Warmmer, Zeeker, ","2saint, Aklo(x3), Anjo, AR0, Arcadia, Asashi, Aura, Axe, Bbatts, Ben(x7), Bimbo, bobby big ballz(x8), CeeLew, Chango(x2), Cilan(x2), cliché, Conman, CPU0, Dacky(x4), Dawson, Dova, Dream(x2), Egg$, Epoodle, Erik, Excel Zero, Forrest, Fro116, Gahtzu, Ginger(x2), Golden, Grab, GrizzlyBair, haunter(x2), Hax$, Herrán, htwa(x2), Hulka, jacket(x3), JCAM(x2), Jet, Jflex(x2), Just Jason, Justus(x2), K8A(x3), Kata, Kevbot, KoDoRiN(x5), Koobie, KoopaTroopa895, Krizski, Kürv(x11), LeZagna, Logos, Lotfy, Lucky(x4), LuigigoShard, Marrgasm, Medz, Melo, mikey, Morsecode762, Mr. Butterfly, MrG, Nathan, Neologism, NoFluxes, NOOT, Not_DuduTsai, Ober, OkayP.(x2), PanterA, Pappi(x6), Peachy Keen, PhDeeznuts, Pipe, Polish, Rei(x3), Rocky, S2J(x2), Salt(x2), Sandy, SDJ, SFAT(x4), SFOP(x2), SK92, Solomon, Soonsay, SpacePigeon(x2), SquidTheCat, Stark, Suezo, The Leaf(x2), Traplord(x2), Travioli(x2), Tristan's Rule, Typhoon(x2), Vincessant, Wassabi, Westballz, Whiskers, ycz6, Younger, Zeeker, Zhyrri, ",
