ETossed,Hungrybox,Leffen,Mang0,Axe,Wizzrobe,Zain,aMSa,Plup,iBDW,Mew2King,S2J,Fiction,SFAT,moky,n0ne/ Bond / wizzyfan109,Trif,Faceroll,Hax$,Swedish Delight,Lucky,Ginger,Spark,Chudat,lloD,ARMY,KJH,Shroomed,Westballz,Medz,Professor Pro,2saint,Gahtzu,Albert,FatGoku,Rishi,Magi,Morsecode762,Zamu,Drephen,Michael,Ice,billybopeep,Colbol,Kalamazhu,Aura,nut,Kalvar,Polish,Tai,Squid,Forrest,KoDoRiN,Free Palestine,Ryobeat,Luigi Ka-Master,KÃƒÂ¼rv,Frenzy,bobby big ballz,Franz,Nicki,TheRealThing,Umarth,Rocky,htwa,Panda,TheSWOOPER,Azel,Fizzwiggle,Krudo,Kuyashi,Leighton,null,Smashdaddy,Sora/Joshman,Wevans,Akir,Aklo,Android 0,Bbatts,Ben,Blues Clues,Bones,Captain Smuckers,Casper,Chape,Chem,Dacky,Dawson,DontTestMe,Eddy Mexico,Eggy,Fank,Far!,Fizz,Flash,Freezus,Grab,Jah Ridin',Jflex,Jmook,Jojo,JSalt,Juicebox,Just Jason,Justus,K8A,Kata,Komodo,Koobie,Khryke,Kins0,Logan,Lotfy,Mekk,MINT,Mot$,Neologism,NoFluxes,NOOT,Ober,OkayP.,orly,Palpa,Pappi,Pipsqueak,Quaff,Rei,Ringler,Salt,Secrets,SDJ,SFOP,Skerzo,Slowking,SluG,Sock,Solobattle,Soonsay,Suezo,Swift,The Leaf,Trail,Travioli,Typhoon,Unsure,Wally,Warmmer,Whiskers,Zealot,Zeeker,Zuppy,Other losses
Gahtzu,1-1,0-0,0-0,1-0,0-0,0-1,0-1,0-1,0-1,0-0,1-1,0-0,1-2,0-1,3-0,0-0,1-0,1-2,0-0,2-1,4-3,0-0,0-0,1-1,0-0,0-0,0-0,1-0,1-0,0-0,0-1,N/A,1-0,0-0,0-0,0-2,0-0,1-1,4-1,0-1,0-0,0-0,5-14,1-2,1-0,1-0,0-0,1-1,0-0,0-0,0-0,2-5,0-0,1-0,0-0,0-0,0-0,12-4,0-0,0-0,0-0,0-0,0-1,2-0,2-1,1-0,1-1,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,2-3,0-0,0-0,10-2,1-0,1-0,0-0,0-0,0-0,3-0,1-0,6-0,1-0,1-0,0-1,1-0,1-0,0-0,0-0,2-0,3-1,0-0,5-2,0-1,0-0,0-0,3-0,1-0,0-0,0-0,4-1,5-0,3-0,0-0,0-0,2-1,3-0,2-0,0-0,1-0,0-0,4-0,0-0,0-0,0-0,0-0,0-0,5-0,0-0,1-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-3,2-1,0-0,0-0,2-1,0-0,0-0,2-0,1-0,0-0,1-0,0-1,0-0,0-0,0-0,4-0,2-0,3-0,"mvlvchi, Joyboy, Wicked_, CPU0, CocoBunniez, Dusk, Nanami (aka PurpleZ), Jank",
Albert,1-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-2,0-0,1-1,1-0,0-3,0-0,0-1,0-0,0-2,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-1,N/A,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,1-0,1-2,0-0,0-0,0-0,1-0,0-0,0-1,1-0,0-0,1-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,1-0,1-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
FatGoku,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-3,2-0,0-0,0-0,0-1,0-0,0-0,1-1,0-0,0-1,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,1-1,0-0,0-1,N/A,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-1,15-2,1-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,5-1,2-0,0-0,1-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,6-1,0-0,0-0,4-0,0-0,0-0,0-0,2-1,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,"KoopaTroopa895, Blea Gelo, Snap, YeehawDaniels",
Rishi,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,1-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,"WillieSchmillieBoyMan, Younger, TPN",
Magi,0-3,0-1,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-2,0-0,3-0,0-0,0-3,0-0,0-1,0-0,0-0,1-0,1-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,2-0,0-0,0-0,0-0,N/A,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-3,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-1,0-0,0-0,1-0,0-1,0-0,2-1,0-0,0-0,0-0,0-0,1-0,0-0,3-0,2-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,4-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,Faust,
Morsecode762,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-2,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-1,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,3-1,0-0,0-0,0-0,1-1,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,"Zion, Zion, Excel Zero",
Zamu,0-2,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,1-2,0-0,0-2,0-0,0-0,0-0,0-0,0-1,0-2,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-1,0-0,1-1,0-0,1-0,0-0,2-1,0-1,N/A,1-0,3-0,0-0,0-0,1-0,0-1,1-0,0-0,0-0,3-2,0-0,0-0,1-0,0-1,0-2,3-0,0-0,0-0,0-0,1-4,0-0,0-0,1-0,0-0,1-0,2-0,2-0,1-2,1-0,0-0,1-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,1-4,0-0,2-1,2-4,0-0,0-0,0-0,1-0,0-0,1-1,1-0,2-0,0-0,2-2,1-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,4-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,2-0,0-0,0-0,1-2,0-0,2-1,0-0,3-0,3-0,1-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-1,4-0,1-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,4-1,0-0,3-0,1-1,1-0,0-0,2-2,2-1,2-1,"Joey Donuts, Reeve, Reeve, Goosekhan, DarkHero, OG Swaglord, Shmeeli, MT, SnooSnoo, Jamrun",
Drephen,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-1,3-14,0-0,0-0,1-1,0-0,0-2,0-0,0-0,0-0,0-0,0-0,1-4,0-1,0-1,0-0,0-0,1-0,0-1,N/A,0-0,0-0,0-0,0-2,0-0,1-0,0-0,0-0,0-1,0-0,0-0,1-0,0-1,0-0,0-1,0-0,0-0,0-0,8-6,0-0,0-0,0-0,0-0,0-0,1-2,0-0,3-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,5-0,0-2,0-0,2-0,5-2,0-0,1-0,0-0,0-0,0-0,1-0,0-0,2-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,4-0,1-0,0-0,6-0,0-1,1-0,1-1,3-3,0-0,0-0,2-0,0-0,0-2,1-0,0-0,0-0,0-1,2-0,0-0,0-0,0-0,0-1,2-0,0-0,1-0,1-0,0-0,0-0,4-0,0-0,0-0,0-0,1-0,0-0,0-0,1-2,0-1,4-1,2-0,3-1,0-0,0-0,0-0,3-0,1-0,0-0,2-0,0-0,0-0,2-0,0-0,1-1,0-0,0-4,2-0,1-1,"LuigigoShard, Elliot, Joyboy, rabit!, HELLA, essy, essy, Balloon Day, Balloon Day, Balloon Day, Balloon Day, Balloon Day, Gainz",
Michael,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,N/A,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-2,0-0,1-0,0-3,0-0,1-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,1-0,1-0,0-0,0-0,11-0,0-0,1-0,3-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,5-0,0-0,1-0,0-0,8-0,0-0,14-5,0-0,20-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,18-27,3-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,10-3,0-0,0-1,0-0,0-0,0-0,0-0,"Voo, Blue, bambi, FMB5k, essy",
Ice,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-6,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-6,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
billybopeep,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,mvlvchi,
Colbol,0-2,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,14-5,0-1,0-0,0-0,0-0,0-0,0-1,2-0,1-0,0-0,0-0,N/A,0-0,0-0,0-0,1-0,0-1,0-0,0-0,3-1,0-0,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,1-0,0-0,0-0,4-1,2-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,6-1,0-0,2-0,0-0,0-0,1-0,0-0,0-1,3-0,1-3,1-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,4-0,2-1,0-0,0-0,0-0,1-3,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-3,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-3,"MT, SDeems",
Kalamazhu,0-1,0-0,1-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-2,0-0,0-0,1-0,0-0,0-0,0-2,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,2-1,0-0,1-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,N/A,1-0,0-0,0-0,0-0,1-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,,
Aura,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-1,0-2,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-1,1-1,2-15,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,N/A,0-0,0-0,0-0,0-0,0-0,0-0,3-5,0-0,0-0,1-1,0-0,0-1,1-2,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-3,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,2-1,2-0,1-0,1-1,0-0,2-0,0-0,0-0,2-1,0-0,0-0,0-0,1-0,0-0,0-0,0-1,0-0,0-0,2-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,"Vish, NoFuxGiven, Blea Gelo, Panos, Nickemwit, Stiv, Stiv, Amrak, YeehawDaniels, Stiv, TreyTheTrashman, Elysian, Tarchwood, Kürv, Snap",
nut,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-5,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-3,0-0,0-1,0-1,0-0,0-0,2-4,0-0,0-0,0-0,0-0,0-0,5-3,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Raikin, Anjo, Elder, Asashi, Rat, MegaXmas, MegaXmas, Kürv, cliché, Ranchero, rom, rom, MegaXmas, Gooms, MegaXmas, Kürv, Bab Activated, lucky_dude_1",
Kalvar,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,N/A,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-1,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-2,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-1,0-1,0-0,2-1,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,3-0,1-0,0-0,0-0,1-3,2-0,0-0,0-0,1-1,0-1,"Jamrun, Seven, Duo, DrewNG, TzD, Intern, Dixon B. Tweenerlegs, Prometheus, sunriseXpress, Bigbuffalo, Dom, Sandy, CmG, DrLobster, Bank, Clutch, Clutch, Kikoho, grownworkingman, Penn, Hunybear, CmG, DrLobster",
Polish,2-0,0-0,0-0,1-0,0-1,0-1,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-1,1-1,1-0,0-0,0-0,0-0,1-1,1-3,1-0,0-0,7-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-1,1-1,3-0,1-0,2-3,1-0,2-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,2-1,2-1,0-0,0-0,0-0,0-0,2-0,0-0,1-0,0-1,0-0,0-1,0-0,0-1,3-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,3-2,1-0,1-0,0-0,0-0,1-0,1-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-1,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,3-0,0-0,0-0,0-0,0-0,0-0,"Erik, Jada",
Tai,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
Squid,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"SuperCuak, Bladewise, Dova, DD, cliché, haunter, Steech, MegaXmas, PanterA, Phorox, DD, Zamorita",
Forrest,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,1-3,0-0,0-0,0-0,0-1,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,3-4,0-0,0-0,0-0,0-0,0-0,1-0,3-5,0-1,0-0,0-0,3-2,0-0,0-0,0-0,0-0,0-0,0-0,1-1,1-0,0-0,0-0,0-0,1-0,2-1,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-2,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-1,0-0,0-0,2-0,0-0,0-0,0-0,1-0,2-0,1-4,0-1,1-0,0-0,0-0,0-0,2-0,0-0,1-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,2-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,1-1,1-0,0-1,0-0,0-0,0-0,0-0,0-0,3-2,"Jimmy Jockstrap, Jamrun, Axon, Dope, Jamrun, Syrox, Voo, Voo, Vinsanity, Younger, Inky, Inky, Profanity, Penn, Toast, Joey Donuts",
