ETossed,Wins,Losses
Pappi,"Android 0, Aura(x7), Ben(x3), bobby big ballz(x17), Bones(x2), Chem(x3), Ginger, Jflex(x9), Juicebox(x3), Khryke(x2), KoDoRiN(x2), lloD, Lucky, Medz, Mekk(x5), NoFluxes(x2), Palpa(x8), Panda(x2), S2J, SDJ(x9), Secrets, Skerzo, Slowking, TheSWOOPER, Warmmer(x2), Zamu, Zealot(x3), Zuppy, ","2saint, 404Cray, 901|Austin, aCID, Akir(x2), Aklo, Albert, ALP(x4), Anjo, Arcadia, Aura, Axon, Azel, Ben(x10), BIG PIKA, blargh257(x2), Blues Clues(x4), bobby big ballz(x11), Bones(x2), Buckets, Case, Cat Named Virtue, CmG, Colbol, Connor, Dacky, Darrell(x2), Dawson, DD(x3), Dimension, Dizzy, Dova, Drephen(x4), Eddy Mexico(x7), Eggy(x2), El Link, Elliot, Faceroll, FatGoku(x6), Firebolt, Freezus(x2), Gahtzu(x5), Ginger(x3), Goosekhan(x2), Grab, Harout, haunter(x2), Hax$, HaxMoneyHulkHogan, htwa(x2), Hulka, Iifter(x3), imoutoslayer, Iron, Jflex(x3), John Llawless(x2), John Wick(x2), JSalt(x8), Justin Joe, Justus, K8A, Kimchi(x2), KoDoRiN(x4), Komodo(x3), Koobie(x2), KoopaTroopa895(x2), Kürv, LAG, Lotfy, Lucky(x3), LuigigoShard(x2), Magi(x2), Medz(x2), Midnight Blue(x3), mintea, Mot$(x2), MT, Mud, mvlvchi, Nathan(x2), New Guy, NoFluxes(x5), NOOT(x6), OkayP., Paladin, Palpa(x5), PanterA(x4), Pi#374, Quaff(x2), Rasen, Rei(x3), Rocky(x5), rom, S2J(x4), Salt(x7), SDJ(x10), Secrets, SFAT(x5), SFOP(x4), Shroomed, Sker, Slowking, SluG, Smashdaddy(x4), SnooSnoo, soccermom69, Sodabro, Soonsay, Spoodily, Steech, SuperCuak, The Leaf, TheSWOOPER, TPN, Trail(x2), Travioli, TreyTheTrashman, Typhoon(x5), Unsure, Warmmer(x2), Wassabi, Weeg, Westballz, Yamasaki, Zealot(x5), Zhyrri, Zion, Zuppy(x3), ",
Pipsqueak,"Chape, Colbol, Free Palestine, Frenzy(x7), Ice(x6), Jah Ridin'(x2), Leffen(x3), Nicki(x4), Polish, Professor Pro(x6), Spark, Swift, Trif(x2), ","Frenzy(x3), Hungrybox, iBDW, Ice(x2), Jah Ridin', Kins0, Leffen(x3), Magi, Mahie, MINT(x3), Nicki, Plup, Polish, Solobattle, Trif(x3), ",
Ringler,"Justus, KoDoRiN, null, Shroomed, Tai(x2), Warmmer, Zamu, ","Android 0, ARMY, Asashi, Aura, Azel, Bbatts, Chango, Drephen, eve, Fiction(x2), Franz, Fury, Ghost Rider, Golden, Gooms, Junk, Justus, L  d00pee, lucky_dude_1, MegaXmas, null(x2), nut, Rei(x4), S2J, SDJ(x2), Sirmeris, Slowking(x2), Smashdaddy(x2), Sp1nda, Spark, Third Strongest, Travioli(x2), ",
SDJ,"Albert, Android 0, billybopeep, bobby big ballz(x9), Drephen(x2), Gahtzu, Jflex, Justus, Kalvar, Mekk(x2), NoFluxes, nut, Palpa, Pappi(x10), Ringler(x2), SFOP, Tai, ","2saint, ALP, Aura(x2), Axe, Ben(x2), billybopeep, Blues Clues, bluezaft (inactive), bobby big ballz(x13), bobbybigballz(x2), Bones, Chem(x2), Cilan(x2), codeman, Dacky, DannyPhantom, DD, Dizzy, Drephen, Eddy Mexico(x2), Eggy, Elysian(x3), Fable, FatGoku(x2), Freezus, Fury(x4), Gahtzu, Ginger, Hax$, Hungrybox, Jflex, John Llawless(x2), JSalt(x6), Justus, KBarry, KGB, KoDoRiN(x8), Maximus, Medz, Miles, NoFluxes, NOOT, Ober(x2), Palpa, Pappi(x9), Pops(x2), Quaff, rabit!, redpandamaster, Rick, S2J(x6), Secrets(x2), SFOP(x7), Sker(x2), Slowking, SluG, SpacePigeon, Studebacher Hoch, TzD, Umbr, Westballz, Will Pickles(x3), Zealot(x2), ZeldaFool, ",
Secrets,"Axe, nut, Pappi, SDJ(x2), ","Albert, AlyJ, Android 0, Balloon Day, Bobby Frizz, DASH, Egg$, Equilateral, Fizzwiggle(x2), Freezus, Grab, Hungrybox, Jet, Logos, Louis, Medz, NoFluxes, NOOT, OkayP., Pappi, Peachy Keen, Redcoat, Rocky, Schythed(x2), Zealot, ",
SFOP,"Aklo, Ben(x2), bobby big ballz(x7), Colbol(x3), Drephen, Ginger(x2), Justus(x3), Lucky, Mot$, null, Palpa(x4), Pappi(x4), S2J, SDJ(x7), Slowking, Zamu, Zealot, ","2saint(x2), Aklo(x3), Albert, Axe(x2), Blues Clues, bobby big ballz(x6), Chummi(x2), Colbol, FatGoku, Fiction, Forrest(x2), Ginger, Hax$(x2), Juicebox, Kata, KoDoRiN(x3), lloD, Logos, Lucky(x2), Magi, Quaff(x4), Ribboned Ace, Rocky, ronnie, SDJ, SFAT(x2), Soonsay(x2), Vish, yingling, ",
Skerzo,"bobby big ballz, Bones(x2), Drephen, Eggy(x5), Fizz(x6), Free Palestine, Ginger, Jflex(x3), Juicebox, Justus, Khryke, Krudo, Mekk, Michael(x27), Mot$(x2), NoFluxes(x5), null, Ryobeat, Warmmer, Zuppy, ","Arpy, Azzu(x2), Bbatts, Ben, Blue, Blues Clues, bobby big ballz, Bones, Casual, Chem, Conman, DannyPhantom, DontRestMe, Dope, Drephen(x4), DrLobster, Eggy, Epoodle, Fluid(x3), FoxCap(x2), Frost, GI0GOAT, Ginger(x4), htwa, Hungrybox, Hyunnies, iBDW, Jflex, Joey Donuts, JustJoe(x2), Kalvar, Khryke, Killablue, KoDoRiN, Komodo, LLDL, Logan, Lotfy, Lucky, Magi, Maher, Mekk(x5), Michael(x18), Morsecode762, Mot$, n0ne/ Bond / wizzyfan109, Nakamaman, Neologism, NoFluxes(x2), Ober(x7), ORLY, Pappi, Pleasantries, Pleeba, Polish, Q?, Reeve, Siddward(x2), Skechers, Slowking, Swift, TechDeath(x2), TheRealThing(x2), TheSWOOPER, Travioli, Unsure(x5), Wally, Wizzrobe, Zamu(x4), Zealot(x2), Zeeker, ",
Slowking,"Aura, Ben(x2), bobby big ballz(x2), Bones, Chem, Eggy(x4), Fizz(x2), Gahtzu(x3), Khryke(x2), Krudo, Logan(x2), Michael, NoFluxes(x4), Panda, Pappi, Ringler(x2), SDJ, Skerzo, Warmmer, ","Ahmad, Aklo, Aura(x2), Bbatts, Ben(x3), bobby big ballz, Bobby Frizz(x2), Boigan, CardboardBear, Darktooth, Dawson(x2), Drephen(x2), Faust, Flash, FMB5k, Ginger, Golden, i still love you, Isles, Jflex(x4), Joey Donuts, JoJo, JSalt(x2), K8A, Khryke, Kuyashi(x5), lloD, Logan(x2), Lotfy(x3), Lucky(x2), Lunar Dusk(x3), Magi, Michael(x3), MOF, Morsecode762, Mot$, n0ne/ Bond / wizzyfan109, Panda, PanterA, Pappi, Pi#374, Rei, Rocky, Russell, Ryobeat, Salt(x2), SFOP, Smashdaddy, Suezo, The Fury(x2), TheSWOOPER, Travioli(x2), Uncle B, Warmmer(x2), Wicked_, Zamu, Zeeker, Zuppy(x2), ",
SluG,"2saint(x2), Ben(x3), bobby big ballz, Bones, Drephen, Gahtzu, Ginger, Jflex(x4), Khryke, KoDoRiN, Krudo, Logan(x2), Mot$(x3), n0ne/ Bond / wizzyfan109, Panda, Pappi, SDJ, Warmmer, Zuppy, ","Aklo(x2), Bbatts(x2), ChuDat, Colbol, Dacky, Drephen(x3), Gahtzu(x2), Ginger(x2), Hax$(x2), Hungrybox(x3), Kürv, NoFluxes(x2), S2J, Smashdaddy, Wally(x2), Zain, Zealot, Zion(x2), ",
Sock,"Luigi Ka-Master, Nicki, ","2 Uosdwis 2 Dewoh, Android 0, deft, DonB, Doritoes5, Dr. Lame, Fiction, Hungrybox, MC, McCloud(x6), Mo $, Nangs, Pickles, Rei, s2b, Sora/Joshman(x7), Squid, SquirtlSquad, Thato, Westballz, ",
Swift,"Aklo(x2), Bones(x3), Captain Smuckers, Ginger, Hungrybox, Jflex(x3), Khryke(x2), KoDoRiN, Logan, Mot$, null, Skerzo, Sora/Joshman, ","Aklo(x2), Bbatts, Ben, Drephen, Ginger, Hungrybox(x3), iBDW, Leffen, Logan, Mang0, n0ne/ Bond / wizzyfan109, Ober, Pipsqueak, Pleasantries, Ryobeat, Vianny, Zamu, ",
Wally,"Aklo, Bones, Captain Smuckers, Chem, Fizz, Jflex(x5), Kalvar(x3), Khryke, KoDoRiN, Morsecode762, Mot$(x10), Ryobeat(x2), Skerzo, SluG(x2), TheSWOOPER, Warmmer(x2), Zamu, ","2saint, 404Cray, Aklo(x3), angst, Axe, Bbatts, Ben, Bones(x2), Captain Smuckers, Error(x5), Fable(x3), HOBORG(x2), iBDW, Jflex(x5), JJM(x2), JoJo(x4), Just Nate, Kalvar, Kevorkian, Khryke, KoDoRiN, Kuma, Louis(x2), Maelstrom(x2), Majersk(x2), Mekk, Morsecode762, Mot$(x12), NoFluxes, Panos, Polish(x3), Ryobeat(x2), Swedish Delight, TheSWOOPER(x4), Tommy, Warmmer(x2), Whiskers(x3), Young Neil, Zamu, ",
Warmmer,"Aklo, Ben, Bones, Captain Smuckers(x2), Drephen, Eggy(x2), Fizz, Jflex(x6), Khryke(x4), Michael, Mot$(x3), NoFluxes(x2), Pappi(x2), Ryobeat, Slowking(x2), TheSWOOPER(x3), Wally(x2), Zealot, ","Adam001, Akir(x2), Aklo(x3), Aura, Axis, Balloon Day, Bbatts, Ben Snape, Blues Clues, bobby big ballz(x3), Bones, Captain Pretzel, Captain Smuckers, catsonthemoon, CeeLew, Chem, Chipotle+, CmG, Colbol, DarkHero, Dawson, Drephen, Drio, DrLobster, dudutsai, Eggy, eve(x2), Future Shock, Ginger(x2), Googlyeyed, Grab, Heartstrings, iBDW, Jada, Jammy, Jamrun, Jflex(x3), JoJo, JSalt(x2), Just Jason, Kalvar(x2), Karan, Kikoho(x2), KoDoRiN(x2), Logan(x3), Lotfy, lucky_dude_1, Medz, MOM!, Mot$, NoFluxes, OkayP., Ossify, OtES, Pappi(x2), Q, Rabbit, Redcoat, Ringler, Rishi, Seven, Siddward, sinbad, Skerzo, Slowking, SloX, SluG, Snap, Sodabro(x2), Soonsay, Suezo, TheRealThing, TheSWOOPER(x5), tomdollars, Trail(x2), Unsure, Wally(x2), Zamu, ",
Zealot,"Ben(x3), bobby big ballz, Bones, Captain Smuckers, Dacky, Drephen(x4), Eggy, Far!(x2), Jflex(x3), Magi, NoFluxes, Pappi(x5), SDJ(x2), Secrets, Skerzo(x2), SluG, Zamu(x2), ","2saint, Axe, bobby big ballz, Bones, DD, Eddy Mexico, Egg$, Eggy, Fizzwiggle, Gahtzu(x4), Ginger, Grab, iBDW, Just Jason(x2), Komodo(x2), LAG, Leighton, mvlvchi, Pappi(x3), Rocky(x2), SFAT, SFOP, Smashdaddy, TheRealThing, Warmmer, Wizzrobe, Zamu(x2), ",
Zuppy,"2saint, Aklo(x3), Ben(x2), bobby big ballz(x3), Bones, Chem, Colbol(x3), Dacky, Drephen, Eggy, Jflex(x8), Juicebox, Kalvar, Krudo, Logan, Mekk, Mot$(x2), NoFluxes, Palpa, Panda, Pappi(x3), Slowking(x2), TheSWOOPER(x2), Zamu, ","2saint, Aklo(x4), Ben, bobby big ballz(x3), Bones(x2), Chem(x2), DarkGenex, Dimension, Drephen, Eddy Mexico, Fank, Forrest(x3), Gahtzu(x3), Ginger(x3), Grab(x2), Hax$, htwa, Hungrybox, i still love you, iBDW, Jflex(x3), Juicebox, Koobie, Krudo, Logan(x5), Mot$(x2), n0ne/ Bond / wizzyfan109(x3), Neologism(x2), Panda(x4), Pappi, Pi#374(x2), Prometheus, Rocky, ronnie, Ryan Ford, Skerzo, SluG, Smashdaddy, Soonsay, Younger, Zamu(x2), ",
