ETossed,Wins,Losses
Gahtzu,"Aklo(x2), Albert, Aura, Axe, Ben(x10), bobby big ballz(x12), Bones, Chem(x3), Colbol(x5), Dacky, Drephen(x4), Faceroll, Far!, Ginger(x4), Hungrybox, Jflex(x5), Juicebox(x3), Kalamazhu, KoDoRiN(x2), Krudo, lloD, Logan(x2), Lucky(x2), Medz, Mekk(x2), Mot$, n0ne/ Bond / wizzyfan109(x3), NoFluxes(x4), nut, Panda(x2), Pappi(x5), Polish, Ryobeat, S2J, SDJ, SFAT, SluG(x2), TheSWOOPER, Zamu, Zealot(x4), Zuppy(x3), ","2saint, Aklo(x3), aMSa, Azel, Ben(x2), bobby big ballz(x4), Colbol(x14), CPU0, Drephen, Eggy, Ginger(x3), Grab, Hax$(x2), Hungrybox, iBDW, Jank, Jflex(x2), Jmook, Joyboy, Kalamazhu(x2), Kata, KoDoRiN(x5), lloD, Logan, Lucky, Magi(x2), Michael, moky, mvlvchi, Nanami (aka PurpleZ), Panda, Plup, Polish, Rocky, S2J, SDJ, SFAT(x2), Slowking(x3), SluG, Soonsay, Unsure, Wicked_, Zain, Zamu, ",
Albert,"2saint, Android 0, Aura, Axe, Ben, bobby big ballz(x2), Colbol, Dacky, Drephen, Fiction, Frenzy, Hungrybox, Juicebox, Justus, Pappi, S2J, Secrets, SFOP, ","2saint(x2), Aklo, Aura, Ben(x2), Chem, Faceroll(x2), Gahtzu, Hungrybox, iBDW(x2), Logan, Lucky, n0ne/ Bond / wizzyfan109, Palpa, S2J, SDJ, SFAT(x3), ",
Rishi,"Bones(x2), Jflex, Khryke, Lucky, Panda, Polish, Tai, TheSWOOPER, Warmmer, ","Aklo(x3), Axe, Hax$, Hungrybox, lloD, Polish, TPN, WillieSchmillieBoyMan, Younger, ",
Magi,"Aklo, Aura, Ben(x2), bobby big ballz, Chem, Gahtzu(x2), Ginger, Khryke, Krudo, Lucky, Mot$, null(x2), Pappi(x2), Pipsqueak, Professor Pro, Rocky, SFAT(x3), SFOP, Skerzo, Slowking, Wizzrobe, Zamu, ","Ben, Faceroll, Faust, Ginger(x3), Hungrybox(x3), Jmook, Kalamazhu, KoDoRiN(x3), Kuyashi, Leffen, Logan, Medz, n0ne/ Bond / wizzyfan109(x3), null, Polish(x3), S2J(x2), TheSWOOPER, Wizzrobe, Zamu(x2), Zealot, ",
Morsecode762,"Eggy, Jflex(x2), Mot$, Skerzo, Slowking, Wally, Zamu, ","Bbatts, Drephen, Excel Zero, Ginger(x3), Jflex, Kuyashi(x2), NoFluxes, Polish, Suezo, Travioli, Wally, Zion(x2), ",
Zamu,"Aklo, Aura, Ben(x2), bobby big ballz, Chem, Colbol, Dacky, Drephen, Eggy, Gahtzu, Jflex(x4), Justus, Krudo, Logan, Magi(x2), Mekk(x2), Michael(x3), Mot$(x3), NoFluxes, Panda(x2), Polish(x3), Rocky, Ryobeat(x3), SFAT, Skerzo(x4), Slowking, Swift, TheSWOOPER, Wally, Warmmer, Zealot(x2), Zuppy(x2), ","Aklo(x4), ARMY, Axe, Bbatts, Ben(x4), bobby big ballz(x4), Chem, DarkHero, Eddy Mexico(x2), Free Palestine(x2), Gahtzu, Ginger(x2), Goosekhan, Hungrybox(x2), Jamrun, Joey Donuts, Kalamazhu, KoDoRiN, lloD, Logan(x2), Lucky, Magi, Mekk, Morsecode762, MT, n0ne/ Bond / wizzyfan109(x2), OG Swaglord, Pappi, Polish(x2), Professor Pro, Reeve(x2), Ringler, S2J, Salt, SFAT(x2), SFOP, Shmeeli, Smashdaddy, SnooSnoo, TheSWOOPER(x2), Travioli, Wally, Zain, Zealot(x2), Zeeker, Zuppy, ",
Drephen,"Aura, Ben(x5), bobby big ballz(x8), Bones, Chem, Gahtzu, Ginger(x3), iBDW, Jflex(x6), Juicebox(x3), lloD, Morsecode762, NoFluxes(x2), Pappi(x4), Ringler, SDJ, Skerzo(x4), Slowking(x2), SluG(x3), Swift, TheSWOOPER(x3), Warmmer, Zuppy, ","Aklo(x2), Albert, Balloon Day(x5), Ben(x2), bobby big ballz(x6), Colbol(x2), Dawson, Elliot, essy(x2), FatGoku, Gahtzu(x4), Gainz, Ginger(x14), Hax$, HELLA, htwa(x2), Jmook, Joyboy, JSalt, Juicebox(x3), KJH(x2), KoDoRiN, Komodo(x2), lloD, Logan, Lucky, LuigigoShard, moky, Neologism, Polish, rabit!, Ryobeat, SDJ(x2), SFOP, Skerzo, SluG, Warmmer, Zamu, Zealot(x4), Zuppy, ",
Michael,"Bones, Eggy, Fizz(x11), Gahtzu, Krudo, Mekk(x5), Mot$, NoFluxes(x8), Skerzo(x18), Slowking(x3), ","2saint, Aklo(x2), bambi, Ben(x3), Blue, bobby big ballz(x2), Colbol, essy, FMB5k, Jflex, Lucky, Ober(x5), ORLY(x2), Polish(x2), Skerzo(x27), Slowking, Smashdaddy(x2), The Leaf, TheSWOOPER, Unsure(x3), Voo, Warmmer, Zamu(x3), ",
Ice,"Aklo, Frenzy, Jah Ridin'(x2), Nicki(x2), Pipsqueak(x2), Professor Pro(x3), ","Frenzy(x6), Ginger, Leffen, MINT, Pipsqueak(x6), Plup, Polish, Professor Pro(x3), Solobattle, Trif(x3), ",
billybopeep,"Axe, SDJ, Shroomed, ","2saint(x2), Faceroll, Medz, mvlvchi, Plup, SDJ, Tai, ",
