ETossed,Hungrybox,Leffen,Mang0,Axe,Wizzrobe,Zain,aMSa,Plup,iBDW,Mew2King,S2J,Fiction,SFAT,moky,n0ne/ Bond / wizzyfan109,Trif,Faceroll,Lucky,Ginger,Spark,lloD,KJH,Shroomed,Medz,Professor Pro,2saint,Gahtzu,Albert,Rishi,Magi,Morsecode762,Zamu,Drephen,Michael,Ice,billybopeep,Colbol,Kalamazhu,Aura,nut,Kalvar,Polish,Tai,KoDoRiN,Free Palestine,Ryobeat,Luigi Ka-Master,Kurv,Frenzy,bobby big ballz,Nicki,Rocky,Panda,TheSWOOPER,Fizz,Krudo,Sora/Joshman,Aklo,Android 0,Ben,Bones,Captain Smuckers,Chape,Chem,Dacky,Eggy,Far!,Flash,Jah Ridin',Jflex,Jmook,Juicebox,Justus,Khryke,Logan,Mekk,Mot$,NoFluxes,null,Palpa,Pappi,Pipsqueak,Ringler,SDJ,Secrets,SFOP,Skerzo,Slowking,SluG,Sock,Swift,Wally,Warmmer,Zealot,Zuppy,Other losses
bobby big ballz,0-8,0-0,0-0,2-2,0-0,1-1,0-0,0-0,0-0,0-0,2-18,0-1,5-7,0-2,0-6,0-0,0-0,8-10,5-14,0-0,1-1,0-0,1-1,6-6,0-0,1-2,4-12,0-2,0-0,0-1,0-0,4-1,6-8,2-0,0-0,0-0,1-2,0-0,3-1,0-0,0-0,0-2,0-1,4-8,0-0,1-1,0-0,0-0,0-0,N/A,0-0,8-5,3-0,0-1,0-0,0-0,0-0,6-16,1-0,13-8,5-3,0-0,0-0,5-1,4-2,3-0,1-0,0-0,0-0,16-4,2-1,2-0,5-0,3-0,0-4,0-0,3-0,3-5,0-1,2-1,11-17,0-0,0-0,13-9,0-0,6-7,1-1,1-2,0-1,0-0,0-0,0-0,3-0,1-1,3-3,"Blassy, Dova, Akir, Neologism, aCID, prof, JHTL, Iron, yingling, Unsure, Hax$, Quaff, Axon, DontTestMe, SpacePigeon, Vish, Midnight Blue, Eddy Mexico, JSalt, Golden, Wevans, Syrox, Quaff, Quaff, Umarth, DarkHero, Townes, DarkHero, OkayP., DarkHero, Kürv, Eddy Mexico, Soonsay, Amrak, Soonsay, Egg$, Dream, Iifter, Steech, Kürv, Ivayne, Kürv, Kürv, Floppy, Yamasaki, Blues Clues, Chango, Joey Donuts, Faust, Westballz, Neologism, Zeeker, Faust, Golden, DontRestMe, Hax$, Hax$, Kata, soccermom69, Typhoon, Typhoon, Kürv, LAG, Eddy Mexico, Salt, Cilan, Quaff, Quaff, MOF, MOF, CmG, Bbatts, Wevans, Jank, Blues Clues, OkayP., htwa, Just Jason, htwa, Komodo, Typhoon, Husband, Kapachi, htwa, Zeeker, Dawson, Knut, Kata, JJM, Bbatts, Neologism, Dova, Stiv, Eddy Mexico, Eddy Mexico, Smashdaddy, PanterA, Smashdaddy, Forrest, Eddy Mexico, INDY, HaxMoneyHulkHogan, Salt, Salt, mintea, Eddy Mexico, Eddy Mexico, DD, Eddy Mexico, Iifter, Matteo, Missinglinc, Fury, Smashdaddy, mintea, William, Brand0, Dawson, JSalt, Pilot, Umbr, Jo3dirt, Ivayne, Husband, Bananas, Koobie, JSalt, Neologism, Forrest, Forrest, Phantom Airline, Pancakes",
Nicki,0-1,0-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,3-1,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,"MINT, MINT, Solobattle, Mahie, Charon, Kins0",
Rocky,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,3-5,0-1,1-5,0-0,0-0,0-0,0-0,2-2,0-1,0-0,0-0,0-0,1-0,1-0,0-0,1-0,1-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,2-0,0-0,0-0,1-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,5-8,0-0,N/A,1-0,0-0,0-0,1-0,0-0,0-0,2-0,1-1,0-0,0-0,0-0,1-0,2-1,0-0,0-0,0-0,0-0,1-1,0-0,0-0,1-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,5-0,0-0,0-0,0-0,1-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,2-0,1-0,"MT, Blues Clues, Salt, KoopaTroopa895, Quaff, Quaff",
Panda,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-1,0-0,0-0,1-1,0-0,0-0,0-0,0-2,0-1,0-1,0-0,1-0,1-0,0-1,0-0,1-2,0-0,0-1,0-0,0-0,0-2,0-0,0-0,0-0,0-0,1-2,0-0,1-0,0-0,0-0,1-0,0-0,1-2,0-0,0-0,0-0,0-0,0-2,0-3,0-0,0-1,N/A,1-0,1-0,4-0,0-0,0-3,0-0,4-1,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,1-1,0-0,0-0,1-0,4-0,0-1,0-0,2-1,3-1,0-0,0-1,0-2,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-1,0-0,0-0,0-0,0-0,0-0,4-1,"Kuyashi, Fank, Neologism, tiebex, Siddward, Ahmad, Bbatts, Panos, Lotfy, Younger, Louis, macdaddy69, Dragoid, Westballz, prof, dalbull, Anwarrior, Unsure, Kadence, phoenix, Forrest, Oaty, Kata, Komodo, Forrest, Captain G, htwa, Kata, The Leaf, Kata, Kata, E-tie, Lotfy, Komodo",
TheSWOOPER,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-2,0-0,0-0,0-1,1-0,0-0,0-0,0-1,0-1,0-0,0-1,1-0,0-0,2-1,0-3,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-3,0-0,0-0,0-0,2-1,0-0,0-0,0-0,1-0,0-0,0-0,0-1,N/A,0-0,0-0,0-0,0-4,0-0,3-4,0-0,0-2,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-9,0-0,0-0,0-0,0-0,0-2,0-0,2-8,0-1,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,4-1,5-3,0-0,0-2,"The Leaf, Just Jason, Kürv, Whiskers, JoJo, JoJo, JSalt, JSalt, Salt, Dawson, JSalt, Salt, Swedish Delight, DrLobster, DrLobster",
Fizz,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-11,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,N/A,0-0,0-0,0-1,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-6,0-2,0-0,0-0,0-0,0-1,0-1,0-0,0-0,"Rooster, techboy, Rockin, tomdollars, Azzu, ight, Zab, Russell, Mattchu, Jank, shoelegend88, JHTL, Ober, Joe(y) Bats, plush, Grab, Travioli, Jamrun, Suezo, Deadhand, Matwood, Gemini, Ober, Hyunnies, TPN, Younger, Dawson, Rahma Noodles, Dawson, Lotfy, Freezus, Ober, Knubs., K8A, Ben Snape, Larfen, Blendtec, Anwarrior, Tomatoman, shabo, Frost, yuk, Aero, JSP, Unsure, FoxCap, Blue, Pleeba, Forest, Anwarrior, Killablue, Seal, Blendtec, Aero, flatline, Larfen, Arpy, Hax$, Simon, Epoodle, Bbatts, Schnurb, Joey, bob, Mattchu, Kendrick, ORLY, Mattchu, Dz, GI0GOAT, Lowercase hero, Books, ORLY, Ryse, Arpy, squizzage, Grab2Win, lovestory4a, Aero, Tao, Kendrick, ORLY, Aero, ORLY, ORLY, Grab2Win, ORLY, Aero, Ober, Aero, ORLY, Unsure, Larfen, Arpy, Larfen, Ober, CmG",
Krudo,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-4,0-0,0-0,N/A,0-0,0-1,1-0,0-0,1-0,0-0,0-0,3-0,1-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-1,0-0,0-0,0-0,0-0,0-0,1-1,"Eddy Mexico, Suezo, Golden, Grab, Forrest, Kuya, Oaty, Profanity, Forrest, Forrest",
Sora/Joshman,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-2,0-1,0-0,0-0,0-1,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,7-0,0-1,0-0,0-0,0-0,0-0,"McCloud, Davox22",
Aklo,2-9,0-0,0-0,3-1,0-3,1-1,0-1,0-1,1-0,0-0,0-0,0-0,1-4,0-1,2-3,0-1,1-0,1-0,3-5,0-0,3-1,0-0,1-0,0-0,0-0,4-1,3-2,1-0,3-0,0-1,0-0,4-1,2-0,2-0,0-1,0-0,3-0,0-1,1-0,0-0,1-0,2-1,0-0,1-1,0-0,0-0,0-0,0-0,0-0,16-6,0-0,0-0,3-0,4-0,1-0,1-0,0-0,N/A,0-0,4-4,2-0,4-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,11-4,1-1,0-0,0-0,0-0,3-4,0-0,3-0,3-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,3-1,0-0,1-0,2-0,0-0,2-2,3-1,3-1,0-0,4-3,"Kata, Blea Gelo, grownworkingman, Bbatts, Jamrun, Younger, Hax$, Hax$, Grab, DontRestMe, Hax$, Lunar Dusk, Forrest, Kürv, Nathan, Sicca",
Android 0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-3,2-6,0-0,0-0,0-0,0-0,0-1,1-3,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,4-2,0-0,0-0,0-0,3-8,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-2,0-0,0-0,0-0,0-1,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,6-5,0-0,0-1,0-0,1-0,0-1,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,"Eddy Mexico, ARMY, Squid, Westballz, Smashdaddy, MegaXmas, Asashi, Westballz, salami, Westballz, Kürv, Rei, Lengüitas, cliché, haunter, Casper, Kürv, Jace, MegaXmas, MegaXmas, Venelox, salami, Casper, rom, Santiago, Santiago, Owl, Kürv, Casper, Franz",
Ben,9-6,0-0,0-0,0-3,1-0,1-0,0-0,0-1,0-1,0-0,0-3,0-0,0-1,0-0,1-7,0-1,0-1,1-2,3-8,0-0,1-1,0-0,1-0,2-1,0-0,1-0,2-10,2-1,0-0,1-2,0-0,4-2,2-5,3-0,0-0,0-0,1-6,0-2,0-0,0-0,3-0,2-3,1-0,2-10,0-0,1-0,0-0,0-0,0-0,8-13,0-0,1-1,1-4,4-3,1-0,0-0,0-1,4-4,0-0,N/A,7-2,0-0,0-0,1-0,0-1,3-0,0-0,0-0,0-0,13-3,0-0,0-0,3-0,2-0,4-7,1-0,4-1,4-0,0-0,0-0,10-3,0-0,0-0,2-0,0-0,0-2,1-0,3-2,0-3,0-0,1-0,1-0,0-1,0-3,1-2,"Neologism, DannyPhantom, TheRealThing, prof, Blea Gelo, Hax$, Just Jason, Hax$, Akir, Dawson, Bbatts, DontTestMe, Eddy Mexico, Reeve, Eddy Mexico, Dimension, OkayP., Salt, Soonsay, K8A, Bbatts, FMB5k, JSalt, Ambisinister, Soonsay, DontRestMe, Komodo, JSalt, JSalt, Kata, shed ninja, GoodEnough, Koder, GoodEnough, Hax$, Lunar Dusk, MOM!, Preeminent, Preeminent, Preeminent, Trail, JSalt, Dimension, Dimension",
Bones,1-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-2,0-0,1-1,0-0,0-0,0-0,0-0,0-3,0-1,0-0,0-2,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-2,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,3-5,0-0,0-0,2-0,0-0,1-0,0-1,0-0,0-2,0-0,2-7,N/A,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,2-1,0-2,0-0,0-0,7-3,1-1,0-0,0-1,2-0,0-0,0-0,2-2,0-0,0-0,1-0,0-0,0-0,1-2,0-1,0-1,0-0,0-3,2-1,1-1,1-1,2-1,"TheRealThing, Fank, Kuyashi, Kuyashi, Neologism, Reeve, BZimm, Soonsay, Eddy Mexico, TheRealThing, Zuraco, TheRealThing, Bbatts, Forrest, mvlvchi, Seven, Dawson, Komodo, Neologism, 901|Austin, Kuyashi, Blues Clues, Mad Tyro, Reesch, Grab, Pleasantries, Zeeker, Zeeker, Den, Blea Gelo, Akir, Forrest, 404Cray, Grab, Captain G, sambob, Bbatts, JSalt, JSalt, Prometheus",
Captain Smuckers,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-4,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-6,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-1,1-2,0-1,0-0,"Dawson, Just Jason, YAMI, Kikoho, Dawson, Heartstrings, FLiiNcHy, FLiiNcHy, Heartstrings, JoJo, Whiskers, Ad, JoJo, K8A, Cannagar, Leighton, Just Jason, Brad, Brad, DVNO, YokaiNels, Just Jason",
Chape,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Komodo, Yeti, Kuya, Salt, Salt, Bbatts, Bbatts, Akir, Zab, Travioli, MOM!, tiebex, Zera, Zera, Guasausky, Ishigami, Ishigami, Arty, Jo$ha, Rocket, SigMa, inchou, Mave, Mave, Mave, Guasausky, inchou, kodo, Mave, Papyrus, Rocket, Aisengobay, Laj, Zim, Limón, Papyrus, hp, Zim, Lopino, hp, kodo, Poket, Tewa, Ant10quia, Lopino, Raikin, Skyy, hp, MCC, Raikin, Rocket, Jo$ha, hp, BIRA, hp, caioicy, LI4R, DRGS, Aisengobay, Mave, hp, Jo$ha, Raikin, NDJ, Raikin, NDJ, Raikin, NDJ, inchou, hp, inchou, Leso, Raikin, hp, Raikin, Blackayboard, Drop, Raikin, Aisengobay, Mave, Mave, kodo, Blassy, hp, Mave, caioicy, Pipo, Mave, Mave",
Chem,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,1-0,0-0,0-1,0-0,1-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-5,0-0,0-1,0-0,0-0,0-0,0-3,0-0,0-1,0-0,0-1,0-1,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,2-0,1-1,0-1,1-0,1-2,0-1,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,2-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-1,1-0,0-0,2-1,"Woley, Blea Gelo, htwa, grownworkingman, BZimm, Whiskers, Reeve, Reeve, Golden, Neologism, Chiefn_, Bbatts, Suezo, Sp1nda, DontTestMe, Uncle B, Kikoho, Kikoho, JSalt, FLiiNcHy, Younger, htwa, Kata, Bbatts, Nix, htwa, Hax$, mvlvchi, Neologism, Westballz, Westballz, Kata, htwa, Dimension, Dawson, Dimension, Dawson, Dawson, Fank, GXM, Umbr, Evil Morty, Umbr, Umbr, Umbr, Umbr, X-Rey, Cilan, X-Rey, Merktality, Godslayer903, Merktality, Tornado Man",
Dacky,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-2,0-0,0-3,0-0,0-0,0-1,0-1,0-0,0-0,1-2,0-1,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,1-0,2-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,2-4,0-0,1-2,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-1,"Jamrun, FatGoku, Eddy Mexico, Kürv, Typhoon, Soonsay, Soonsay, Eddy Mexico, FatGoku, FatGoku, FatGoku, FatGoku",
Eggy,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,1-0,2-0,0-0,0-0,0-1,0-0,0-3,1-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-4,0-0,0-1,0-0,2-0,1-3,1-4,0-1,8-6,1-0,0-0,2-0,0-0,0-0,1-0,0-0,0-0,1-5,0-4,0-0,0-0,0-0,0-0,1-2,1-1,0-1,"Leof, TPN, Bbatts, Freezus, Wicked_, haunter, Suezo, Kata, Jodokast, Ceja, Faust, JSalt, Justin Joe, Emanon, Dawson, JSalt, Freezus, DontRestMe, Jada, DontTestMe, K8A, CAUP, Dawson, FMB5k, Blazen, Bbatts, Lotfy, justiceforpersona, Fank, GodTouch, Hyunnies, JustJoe, Arpy, Unsure, TPN, Steoh, MOF, Golden, GI0GOAT, .Dempt, Question, Kata, Duff, ORLY, Ishigami, Ishigami, Suezo, Lotfy, Joe(y) Bats, Salt, Mad Tyro, JSalt, Koobie, JSalt, Dawson, JSalt, The Brig, JSalt, coffee, Ober, Ober, Killablue, FoxCap, Dragoid, LuigigoShard, Ober, Googlyeyed, Unsure, Kata, Unsure, Unsure, Larfen, Azzu, Ober, Unsure, Lengüitas, Arpy, Trash, Rasen, Rasen",
Far!,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-10,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-1,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,"Dova, Rei, Quaff, Jace, TheRealThing, Cilan, Salt, AR0, OkayP., K8A, Lengüitas, PanterA, Eddy Mexico, Kürv, .jpg, Fist Mexico, .jpg, Kürv, ESPONJA, ALP, rom, Eddy Mexico, mintea, aCID, Salt, Eddy Mexico, JCAM, JCAM, Eddy Mexico, X-Hylian, JSalt, Px-Hylian, Yu, Yu",
Flash,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Lord of Runescape, Kibbles, TheRealThing, essy",
Jah Ridin',0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-3,0-0,0-1,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Solobattle, MINT, Solobattle, RedBlaze, Solobattle, Isdsar, Kins0, mayhem092, Levingy, Kins0, Levingy, Kins0, abbson, raoul, raoul, Solobattle, Kuya",
Jflex,0-6,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-2,0-1,0-0,0-2,0-3,0-0,0-1,0-5,0-7,0-0,0-0,0-0,0-0,0-1,0-0,2-0,2-5,0-0,0-1,0-0,1-2,0-4,0-6,1-0,0-0,0-0,0-2,1-0,3-0,0-0,2-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,4-16,0-0,1-1,1-1,9-0,1-0,0-2,0-0,4-11,0-0,3-13,1-2,6-0,0-0,0-2,0-0,4-0,0-0,0-0,0-0,N/A,0-2,0-1,3-0,4-0,2-3,1-0,9-6,6-0,1-0,0-0,3-9,0-0,0-0,1-1,0-0,0-0,1-3,4-0,0-4,0-0,0-3,5-5,3-6,0-3,3-8,"Azel, Russell, Dawson, Blea Gelo, PudgyPanda, Forrest, Grab, Grab, Unsure, Bbatts, Azel, htwa, Kuyashi, Jamrun, Eddy Mexico, Stango, Bbatts, Koobie, Kürv, OkayP., Salt, GGS, Akir, Hulka, rabit!, Kürv, $limChang, Smashdaddy, JSalt, K8A, Husband, Blues Clues, Logos, Erik, K8A, Erik, Erik, LuigigoShard, Bbatts, MOF, Kürv, RyGuy, MOF, JoJo, MOF, htwa, Siddward, Crow, Unsure, Googlyeyed, Knut, cockbread, Zeeker, Lotfy, Soonsay, Kürv, Golden, Hax$, Neologism, PudgyPanda, Whiskers, JoJo, Salt, DontTestMe, DontTestMe, Trail, Swedish Delight, JJM, Swedish Delight, Bbatts, Dimension, Fable, Neologism, Dawson, Smashdaddy, 404Cray, 404Cray, Zion, Zion, Epoodle, Salt, Bbatts, Lengüitas, Rei, Akir, Chopsteezy",
Jmook,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,1-0,0-0,0-1,0-0,0-0,0-1,1-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-2,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-1,0-0,0-0,2-0,1-0,0-0,1-1,0-0,0-0,1-0,0-0,0-0,2-0,N/A,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,Komodo,
Juicebox,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-3,0-1,0-0,0-0,0-0,0-0,3-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-1,0-0,1-0,0-0,N/A,0-0,2-0,0-0,0-0,1-0,2-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,"Leof, iLL BiLL, Bbatts, Peachy Keen, Dash, TPN, Stark, Fank, Fank, Bbatts, Quote",
